Time,Roll,Pitch,Yawrate,Thrust
1691148302.0803819,-2.3528717,-4.7687325,-4.1080327,38021.562
1691148302.1030712,0.5006668,-0.94247216,-0.2825155,41037.848
1691148302.125875,-3.6232758,-0.96561915,2.5919118,40769.047
1691148302.1482215,-1.1325725,-3.660048,1.4111575,39572.848
1691148302.1715643,-3.6653683,-3.5340333,3.8393054,42225.76
1691148302.1939895,-2.9775884,-4.146098,-2.554748,31838.803
1691148302.2165022,0.42717078,-4.9226923,0.18248154,38959.484
1691148302.239205,0.38468707,-0.8447546,3.7800117,31892.28
1691148302.2616568,-0.07810109,-2.4619405,2.7246282,39390.516
1691148302.284873,-0.32284805,-3.8333144,-1.8618767,41706.82
1691148302.307439,-1.8422737,-3.6361916,1.533156,40578.266
1691148302.3308825,-0.8375541,-2.690232,0.6750717,35019.48
1691148302.3531394,-0.08689505,-4.214618,-2.5901809,40823.72
1691148302.37546,0.28959227,-4.1293564,-0.08909004,41939.008
1691148302.3977067,-1.8074489,-4.5085845,2.0947552,40911.23
1691148302.4201815,-0.027125256,0.5311343,-0.46660993,36764.516
1691148302.443609,-3.5519156,-4.1849523,-2.7977712,36080.562
1691148302.467066,0.34115866,-0.7183569,0.5104276,34194.7
1691148302.489617,0.09396057,0.11381593,-0.22560817,36202.723
1691148302.5120873,0.17134672,-0.08402596,3.645699,33280.066
1691148302.5352046,-1.3333439,-5.3331695,-3.4707808,42217.18
1691148302.5580738,-0.10438837,-5.137898,-3.8716578,31888.637
1691148302.5811517,-3.5213685,-3.8122685,-2.1386445,33758.723
1691148302.6035798,0.09504682,-3.5144937,0.43435928,40696.906
1691148302.6263514,-0.48413974,-1.4267809,0.014140874,36114.69
1691148302.6502318,-0.50522566,-4.224213,3.5137897,36775.242
1691148302.6732774,-1.2854795,-0.19094616,-4.0393324,42370.02
1691148302.6965888,-0.9590432,-4.5380826,-3.5763183,31850.629
1691148302.7192755,-1.9762535,-3.748076,-2.8776805,42473.87
1691148302.7430518,0.37307617,-0.8775885,1.9317489,38256.805
1691148302.7655866,-0.83104706,-1.2085248,-3.7354567,38403.26
1691148302.7879877,-0.66538966,-0.37730974,-2.525493,35931.742
1691148302.817585,0.8692262,-1.6105983,-2.3491814,31740.643
1691148302.840749,-0.15073901,-0.9528418,-0.22895736,35074.953
1691148302.8631442,-0.30193517,-0.9882665,0.7666572,33575.113
1691148302.88576,-2.672948,-4.076049,-0.011497863,33047.38
1691148302.9085186,-1.8889036,-3.5324771,4.334271,33347.11
1691148302.933416,-3.477488,-5.5173807,0.6820003,37149.242
1691148302.9557889,-0.29240638,-4.265313,-4.4577055,35013.082
1691148302.9788156,-2.818414,-2.6921716,-4.465917,35429.625
1691148303.0016823,-3.4108832,-2.270274,-3.5635297,32344.242
1691148303.0267377,-1.9183536,-0.13720858,4.2201166,41619.37
1691148303.050522,0.70372355,-3.8466296,3.898138,40901.223
1691148303.0730834,0.41412827,-2.387286,-3.9283319,37381.047
1691148303.0964506,-3.2697902,0.044867862,2.7553034,41435.777
1691148303.1188607,-1.8982639,-3.285542,-0.3183367,35814.844
1691148303.1415858,-0.2105438,-1.5904319,-1.4909906,31448.676
1691148303.164302,-3.718876,-2.8334763,4.1285963,31543.2
