Time,Roll,Pitch,Yawrate,Thrust
1690897279.4526093,-3.129477,-0.064672016,-3.9297607,27896.334
1690897279.4747393,-1.6649902,0.13825436,2.366399,35140.473
1690897279.4969795,0.87518656,-1.1197753,2.1839075,29379.713
1690897279.5193586,0.2708945,-3.2594097,-3.8324473,29166.258
1690897279.541614,0.5351656,-4.5981083,-1.1104889,35494.105
1690897279.5641787,0.14173427,-1.9257578,2.8992395,30034.328
1690897279.5866745,-0.5937404,-1.640369,2.7501616,34753.38
1690897279.6091115,-3.5424447,-0.4013677,-4.023878,33018.445
1690897279.6359372,0.11230488,-0.26737148,-2.1222422,29110.254
1690897279.658714,0.41871464,-1.1478544,-1.0220768,34523.453
1690897279.6808136,-3.5943007,-0.37691435,-3.703831,35937.07
1690897279.7032104,-2.8322017,-2.5535295,2.8377948,30910.494
1690897279.7267346,-0.8390702,-1.5006189,-4.2995157,35976.36
1690897279.7497475,0.06320043,-3.2317657,2.3900185,27256.938
1690897279.7720184,0.7720875,-0.050632242,2.4071167,35962.766
1690897279.7944407,0.8193186,-3.7604504,3.571625,29898.668
1690897279.8166928,-3.129576,-5.338252,-1.9206872,27470.805
1690897279.8390763,-1.3643049,-3.3479774,3.8368726,28568.676
1690897279.8623564,-0.12384738,0.16904053,3.5658696,34897.453
1690897279.8851016,-1.2406224,-4.8659754,4.202844,29276.773
1690897279.9078844,-1.6993532,-1.7393731,-4.509358,29819.717
1690897279.9302468,-3.6202602,-4.5515447,3.6919813,34584.9
1690897279.9529798,-1.2117811,-3.1238542,-2.2326295,33101.77
1690897279.976434,0.6994053,-4.374138,0.18503225,35992.945
1690897279.9986541,-1.6308954,-4.1238937,2.2888796,36398.547
1690897280.0207682,-0.1974023,0.511476,-1.3224736,30359.352
1690897280.0434377,-3.2183478,0.4750851,0.48857936,34776.55
1690897280.0659873,-3.0253506,-0.15839475,1.6292,28356.27
1690897280.0885377,-0.30713323,-0.47526065,4.395181,34224.977
1690897280.111525,-1.1835109,-0.11296181,-2.1268747,28628.041
1690897280.1335123,-2.9408438,-4.9108124,3.5019152,35226.633
1690897280.1559815,-1.4881711,0.23317246,2.127218,29951.736
1690897280.1786516,-2.9787502,-0.83689445,0.9928047,31350.232
1690897280.2017987,-1.6396383,-0.67636675,2.1058369,31385.307
1690897280.2239704,-0.7651402,-0.29772118,-4.1787243,28270.506
1690897280.246655,-0.6310644,-5.12917,4.430327,32073.512
1690897280.2704284,-1.0591415,-3.7029967,4.3671975,28280.678
1690897280.2931902,-2.1004105,-4.0699663,3.0249076,29596.234
1690897280.317825,-0.7090257,-4.428875,4.0650196,34475.53
1690897280.3405461,-1.7538652,-3.4912338,-0.59364504,28995.266
1690897280.3632832,0.18807296,-0.7148115,-1.0314807,27625.414
1690897280.386768,-3.7427857,0.12185167,2.649418,35453.613
1690897280.409678,-0.057651702,0.07226389,-4.626763,34118.855
1690897280.4323642,-3.5124776,-2.943097,-3.3483367,31057.447
1690897280.4551554,-1.4989972,-0.9446281,-2.9000776,36474.19
1690897280.4779902,-0.2517548,-5.0630198,-0.45318693,32078.326
1690897280.500483,-2.7115483,-4.701138,-0.04229132,27788.771
1690897280.5231626,0.8622798,-0.20436679,0.87393486,32684.002
1690897280.5456474,0.7806733,-0.5590886,-3.7412949,31479.102
1690897280.5689237,-2.5630422,-4.3967795,-4.6098647,29680.035
1690897280.591714,-2.8218346,0.46316195,-2.6604621,28688.96
1690897280.6146808,-3.6060796,-4.546452,1.3628591,27316.572
1690897280.637372,0.054562222,-3.808303,-4.015249,34801.574
1690897280.661561,0.75439686,-0.086635,-1.6366694,29465.736
1690897280.6839542,-0.04829151,-5.0414557,0.7444607,34518.438
1690897280.7063117,0.5080852,-2.8740726,0.39765835,27729.834
1690897280.7307913,-3.5553555,0.011949043,2.676514,29844.35
1690897280.7532663,-2.4509988,-0.9992437,1.1737517,36768.906
1690897280.776851,0.28027728,-0.095292486,-0.78165525,36534.504
1690897280.799006,-3.1255722,-0.64333296,0.898048,33893.293
1690897280.8216205,-1.1649538,-1.1416296,-2.5962925,29864.268
1690897280.844075,-2.99042,-4.6923165,2.4456973,36913.266
1690897280.866603,0.62847465,-2.0544076,-2.9257607,29328.385
1690897280.8890202,-0.785059,-0.38923663,3.8058972,35086.605
1690897280.912467,-1.811136,-0.26013327,-3.001501,32438.58
1690897280.935041,0.9065524,-5.3396306,-2.6830447,29651.318
1690897280.9577038,-1.8408058,-0.07069545,0.7872685,29233.854
1690897280.9804912,0.8215982,-5.149134,-3.926819,32308.025
1690897281.0027008,0.5494973,-0.64022684,0.113691,29875.217
1690897281.0266283,-2.493733,-3.8881657,4.46875,34294.605
1690897281.049325,0.245666,-3.5941386,-0.33082372,35145.664
1690897281.0718994,-3.4946628,0.18367536,-0.44287428,35737.652
1690897281.0945008,-3.6623366,-5.504021,-3.6890614,28684.53
1690897281.1169899,-2.5109742,-1.1170175,4.3635263,32134.96
1690897281.1405106,0.60587806,-1.1421074,3.2953722,30821.412
1690897281.1626608,-3.148007,-3.02114,-2.728882,34448.66
1690897281.1855068,0.82901853,-0.59742194,3.511768,33553.758
1690897281.2080445,-1.3764256,-1.2769433,-1.1664579,28139.412
1690897281.230324,0.76445717,-3.828085,-2.4950845,33677.637
1690897281.2530355,-1.3257186,-5.2427344,0.65217644,33171.55
1690897281.2758858,-1.632844,-1.584976,2.5575566,35775.016
1690897281.2985477,-0.09984667,-5.352771,-4.2012525,35527.297
