Time,Roll,Pitch,Yawrate,Thrust
1690984592.5482662,-0.13240437,-1.6415254,0.87135834,32843.496
1690984592.5715125,0.63691217,-4.5976706,-3.3560302,33085.14
1690984592.5941532,-0.066325046,-1.3392928,-0.16009608,31503.701
1690984592.6170127,-1.6054639,0.5138387,3.1254718,28113.992
1690984592.6393015,0.11217616,-4.376867,3.201573,29626.19
1690984592.6619914,-2.9328206,-2.7987585,-3.0796325,36093.566
1690984592.6847336,-1.8905884,-4.7625833,1.9422164,34508.223
1690984592.707473,-0.50444305,-0.14525999,-2.7306361,35259.23
1690984592.7299597,-1.963323,-1.2782909,-2.7483356,34288.926
1690984592.7529116,0.8146028,-3.574949,2.6806674,36863.023
1690984592.7761905,-3.1488323,-5.0445175,1.2611715,34977.094
1690984592.7992947,0.75279206,-0.33178666,-2.2978444,27841.65
1690984592.8220646,-1.477678,-1.3906127,-3.4527445,33785.582
1690984592.8444865,-0.93467367,-2.7906282,0.38330385,27864.195
1690984592.8666675,-1.1893201,-4.3932643,3.0913167,28137.281
1690984592.8892894,-2.444107,-0.4368095,-2.0806553,29162.121
1690984592.91176,-1.1441295,-1.3609579,-0.99453336,27583.758
1690984592.9340632,-1.5335244,-2.4792733,-0.82367957,33863.49
1690984592.9563172,-3.6164458,-3.25426,-3.4313278,28019.816
1690984592.9786952,0.8960163,-3.2089624,-4.382135,27245.635
1690984593.0011692,0.34295082,-0.1916293,-2.8987594,36067.004
1690984593.023656,-0.586614,-4.6435957,3.673826,35929.04
1690984593.047059,-0.5194736,-1.9836996,3.9429235,35551.156
1690984593.0693078,-0.21993102,-0.09444103,3.4569662,31093.096
1690984593.0920656,-1.8631623,-1.920656,-3.057948,27235.844
1690984593.1156073,-2.6946712,-4.246066,-2.0775514,29237.783
1690984593.139095,-0.31260046,-3.8576283,0.99887896,31447.934
1690984593.1655164,-3.3591404,-4.644098,-1.2347869,29692.332
1690984593.189595,-1.5107712,-5.1083183,-0.4308536,28837.207
1690984593.2132738,-2.4804971,-3.7596784,-1.7848783,33464.637
1690984593.235959,-0.11824475,-3.0194352,-2.1727831,34962.105
1690984593.2582252,0.6816356,-1.0667801,-1.3213121,35642.04
1690984593.2820015,-1.6568298,-1.5856049,-0.4443713,31008.775
1690984593.3046296,-2.3705103,-0.6977511,-0.9412983,31482.785
1690984593.3271499,0.7271111,-2.8065631,2.478775,32658.771
1690984593.3498409,-0.13755655,-5.549877,-3.9035752,27999.604
1690984593.3722963,-2.2785869,-4.16173,3.2614532,36844.066
1690984593.3945606,-3.525877,-4.5904684,-3.4209163,29096.754
1690984593.4173226,-0.57616466,-5.1363707,-0.22117856,35307.258
1690984593.4427805,-0.6545753,-5.427644,-4.27877,30963.688
1690984593.4658813,-2.8122184,-3.6958778,1.2257978,33717.094
1690984593.4889624,-3.1278083,-2.5878162,3.0315592,28592.123
1690984593.5115685,-1.3018425,-5.2965703,3.5249631,30331.91
1690984593.5338414,0.25302935,-3.0517378,-2.5457788,33543.82
1690984593.5561714,-1.1812536,-5.1498456,-0.30326903,29102.125
1690984593.5784392,0.35376492,-5.2244673,2.212213,27994.389
1690984593.6008487,-0.6326202,-3.1148899,3.5158052,28856.87
1690984593.6243076,-1.3405745,0.50319415,-3.5970223,30924.436
1690984593.6487195,-1.8420894,-0.98156595,0.58863807,36332.086
1690984593.6711802,-3.1465669,-5.320122,2.4175563,33177.582
1690984593.6939192,-0.9758771,0.54742706,-0.6153789,31632.527
1690984593.7166042,-3.6836157,-1.3312818,-4.0988536,34615.195
1690984593.7394397,-1.3742703,-4.3929195,-4.229466,27989.6
1690984593.7619667,0.5367228,-2.4007301,-3.8359976,34719.285
1690984593.785435,-3.5709636,-3.540314,0.6794046,31805.54
1690984593.8082933,-0.944119,-2.1464503,-3.7221768,30206.143
1690984593.831873,0.81774163,-0.91887105,4.366067,31664.137
1690984593.854666,-2.6484396,-4.662101,2.6842408,31804.469
1690984593.8771377,-0.5247699,-4.837079,3.44976,29653.346
1690984593.8994815,-0.06328392,-3.0196671,-1.7443489,27494.95
1690984593.9221663,-0.19786584,-2.802793,1.4709455,28585.08
1690984593.9451041,0.31628406,-0.6520709,-0.12951738,36680.76
1690984593.9681325,-2.7700696,-5.361168,3.4470382,33530.156
1690984593.9913635,-0.56603825,-2.91842,1.7473842,28237.295
1690984594.0158777,-3.1599052,-2.9525802,-2.058298,34686.13
1690984594.0403318,-2.2963424,-4.699194,1.8937755,31891.73
1690984594.0634434,-1.2870235,-2.1325717,1.8968235,34177.805
1690984594.0856824,-3.0536602,-4.9828553,-0.2976555,31044.92
1690984594.108021,0.09013104,-0.27359328,0.9820735,30443.744
1690984594.1319566,-2.5173602,-5.468661,1.4694859,30972.918
1690984594.1551757,0.6814072,-2.7295337,-3.6509957,27798.85
1690984594.1784754,-2.0444033,-2.1780565,-1.8770761,30578.238
1690984594.2021053,-1.8284631,0.23389553,-0.08649373,31112.98
1690984594.2255168,-1.4473201,-0.13903129,-1.2052569,34889.637
1690984594.2483463,-1.9508675,-2.7024794,2.7138205,36075.11
1690984594.270651,-3.403223,-3.9261265,1.7120371,36633.53
1690984594.2969587,0.6485827,-4.3582096,-2.0906963,32793.44
1690984594.319912,-3.502363,-4.178795,-3.1114194,36046.516
1690984594.3425326,-1.4994483,-2.7406807,-1.2725871,28921.568
1690984594.3649302,-2.4774206,-0.6857139,2.5326672,36032.484
1690984594.3877501,-1.9467833,-0.8822849,3.5035124,28344.498
1690984594.409885,-2.6736305,-4.4971814,-4.392978,27606.203
1690984594.432621,-3.676223,-3.5026376,-0.209163,29115.37
1690984594.4550142,-2.221931,-4.992562,0.5659491,30332.139
1690984594.477265,0.5765653,-4.6609516,0.76084673,31259.48
1690984594.5002167,-2.2776957,-0.07642855,1.4438871,28226.0
1690984594.5237381,-0.5114661,-4.2967863,4.149094,29201.607
1690984594.546581,-2.661132,-2.1259568,3.721194,34401.527
1690984594.5712893,-0.28160712,0.054506864,-2.8623457,32689.932
1690984594.5935955,0.5808389,-1.3851931,-2.6534817,28441.791
1690984594.6162055,-2.8612685,-3.4085865,-2.8013897,33623.215
1690984594.638789,0.38352957,-0.027564215,2.4597387,34865.242
1690984594.6613567,-1.6653001,-1.9447395,0.03946089,32779.418
1690984594.6842244,-3.3543215,-3.6082325,-3.2942352,33241.26
1690984594.7068424,-2.8071663,-5.325278,-2.4614918,36207.29
1690984594.7299247,0.5276846,-4.338673,2.042234,28306.172
1690984594.7524967,0.78150403,-1.8606526,4.047692,31624.924
1690984594.7753456,0.50773776,-4.9534745,-3.4950097,34951.848
1690984594.7988532,-1.6791141,-4.5860605,1.659882,31378.098
1690984594.8215566,-0.9077131,-0.39019465,-1.8876572,29436.684
