,0
0,0.0003328578521855805
1,6.631166640849472e-05
2,6.636105016382331e-05
3,6.521295159863767e-05
4,6.610762043283305e-05
5,4.477502088661914e-05
6,5.756464451098996e-05
7,6.271321677432516e-05
8,6.510934711030811e-05
9,6.161800368743801e-05
10,5.5237929988365884e-05
11,6.358033662156245e-05
12,6.63163155040795e-05
13,5.725248178663907e-05
14,6.359183333782805e-05
15,6.355202774275742e-05
16,5.707607089151884e-05
17,6.44692737679542e-05
18,6.608386658883603e-05
19,5.3403914862926684e-05
20,6.322096984424446e-05
21,6.476651663920461e-05
22,6.534292242160383e-05
23,6.538250977870547e-05
24,6.035832132600168e-05
25,6.547417446275855e-05
26,6.668261062351296e-05
27,6.683147393184347e-05
28,5.0234975193713393e-05
29,6.259080467381472e-05
30,5.960294193318462e-05
31,6.171663897604833e-05
32,6.192033218567257e-05
33,5.77148747062719e-05
34,6.397767659971079e-05
35,6.16611991757278e-05
36,6.599529963044674e-05
37,6.016737754024308e-05
38,4.698897901854254e-05
39,6.033751821563228e-05
40,6.595341916360416e-05
41,6.231625782990988e-05
42,5.963262840577876e-05
43,6.261128396304092e-05
44,6.294846850815905e-05
45,6.154886962109242e-05
46,6.51121535409844e-05
47,6.73293014760165e-05
48,6.276294003162418e-05
49,6.491289509445769e-05
50,6.530287844838235e-05
51,6.493363186788717e-05
52,6.074928901807327e-05
53,6.671206904513663e-05
54,6.78761043206075e-05
55,6.602268355270741e-05
56,5.6472616756828827e-05
57,6.253582030896996e-05
58,6.366591036575277e-05
59,6.723899037772586e-05
60,6.614391815571184e-05
61,6.0194478687686e-05
62,6.339075756472895e-05
63,6.509390132538944e-05
64,6.519713975413451e-05
65,6.69217703253811e-05
66,6.723757781635842e-05
67,6.552004300459325e-05
68,6.5158235664643e-05
69,6.419639734381557e-05
70,6.333838014357215e-05
71,6.661080848811711e-05
72,6.609759531034014e-05
73,6.648182289960427e-05
74,6.604043318378966e-05
75,6.515335476569567e-05
76,6.501792453593592e-05
77,6.502347230172978e-05
78,6.602542751166865e-05
79,5.585338397838495e-05
80,6.19734152942899e-05
81,6.39456460343948e-05
82,6.645813272278507e-05
83,6.609972284479367e-05
84,6.566060956219441e-05
85,6.52887915334652e-05
86,6.454218217340633e-05
87,5.807739029059984e-05
88,6.348225056464119e-05
89,6.391321381611033e-05
90,6.708962258825349e-05
91,6.618579384578986e-05
92,6.53801966427118e-05
93,6.28774742185623e-05
94,6.536271398245397e-05
95,6.50334391515605e-05
96,6.58553500424572e-05
97,5.731543897667267e-05
98,5.993374428194626e-05
99,5.676332438838607e-05
100,6.431837072103147e-05
101,6.521799338056368e-05
102,6.504857072395267e-05
103,5.0307086952067696e-05
104,6.237443505382989e-05
105,5.913566425662297e-05
106,6.50526615749727e-05
107,5.662906150788288e-05
108,5.292851596088405e-05
109,6.451827228514716e-05
110,6.499157606169958e-05
111,5.8071084170940305e-05
112,6.481267962803511e-05
113,6.513640269842109e-05
114,6.619979737166703e-05
115,6.560406461959955e-05
116,6.527220916341574e-05
117,5.9504992250261636e-05
118,6.476492592765399e-05
119,6.59804800501996e-05
120,6.69414427904975e-05
121,6.607171082181516e-05
122,6.28809115920494e-05
123,6.518299924352882e-05
124,6.610211020177248e-05
125,6.649205249367649e-05
126,6.709260097905127e-05
127,6.718732486330544e-05
128,3.782537345928495e-05
129,4.594850081568382e-05
130,5.451227353766709e-05
131,4.735460494634526e-05
132,3.231945522628248e-05
133,3.6499846647674695e-05
134,3.475426828321204e-05
135,3.258877320698184e-05
136,4.6952890065436685e-05
137,3.633748951479692e-05
138,3.388511906064738e-05
139,2.4990585131837785e-05
140,9.716466350252587e-06
141,4.400773228310783e-06
142,4.868182782330269e-06
143,1.0838297599355256e-05
144,2.4574438002739857e-05
145,2.7034089193688496e-05
146,3.264712429836487e-05
147,4.152973184371313e-05
148,4.5121575175994104e-05
149,3.116311798634938e-05
150,1.0505485071338006e-05
151,3.474257188777305e-06
152,2.373124903329489e-06
153,3.635166246967767e-06
154,6.703087920229761e-06
155,2.1837892635403847e-05
156,2.4748359878356415e-05
157,2.8302314413142702e-05
158,2.646588914496397e-05
159,4.215649008578621e-05
160,8.196779678058916e-05
161,8.092136225208362e-05
162,5.3124056135302415e-05
163,2.4208340957229934e-05
164,1.5615213421493737e-05
165,3.12327660318196e-05
166,6.749969621547808e-05
167,0.00011184737756164399
168,0.00014917912472919506
169,0.00012300710274145145
170,7.109476552680919e-05
171,4.841498266041127e-05
172,3.631331356501116e-05
173,5.995161476817168e-05
174,7.60050333035912e-05
175,6.928277333249696e-05
176,7.986487410337384e-05
177,6.535056069362617e-05
178,4.2571064508043766e-05
179,3.8561199865879955e-05
180,2.2091533367224115e-05
181,2.50544199979252e-05
182,4.0504959323498776e-05
183,7.037207457497704e-05
184,5.7539945094001003e-05
185,2.8621997908505408e-05
186,1.592033838018482e-05
187,2.1856013523845467e-05
188,1.4687691445433806e-05
189,1.8267689070330533e-05
190,2.221780991932561e-05
191,2.0864979300773407e-05
192,2.1524265289487897e-05
193,4.661881165555103e-05
194,5.608723828018442e-05
195,6.669209963196403e-05
196,3.190204073098425e-05
197,2.294810294473183e-05
198,2.1393324414452743e-05
199,2.304991032927073e-05
200,4.402646978096557e-05
201,6.378583348601972e-05
202,7.091519368756861e-05
203,3.798353681922211e-05
204,4.086010933810027e-05
205,4.1336730130746294e-05
206,7.628979666361213e-05
207,6.120848974805315e-05
208,6.966047108527557e-05
209,5.3355714878397276e-05
210,3.878904359227269e-05
211,3.1686432837340894e-05
212,3.547227405173494e-05
213,5.7859191639302025e-05
214,7.320575466509451e-05
215,4.735778168244489e-05
216,3.3141962299934616e-05
217,2.7811610030424818e-05
218,2.748741670553007e-05
219,5.148720064850219e-05
220,6.718776459942379e-05
221,5.193550618654456e-05
222,2.960606581897209e-05
223,1.4309522492259643e-05
224,7.542362054655687e-06
225,1.122490350058482e-05
226,2.9694613867643855e-05
227,4.678433281610645e-05
228,6.329412354693822e-05
229,4.2655481114635135e-05
230,2.9579637351650206e-05
