,0
0,7.946461051413945e-06
1,6.976408928671662e-06
2,7.4988058296980085e-06
3,7.523237436822069e-06
4,6.504943618810035e-06
5,6.884084659107535e-06
6,7.3917363857257514e-06
7,7.55153759486792e-06
8,7.383966429700107e-06
9,7.169827700650119e-06
10,7.347013635706744e-06
11,7.054052396175456e-06
12,7.181642089114599e-06
13,7.554944754320559e-06
14,7.795626382356207e-06
15,7.332938836838517e-06
16,7.3925467645272795e-06
17,7.652575012216097e-06
18,7.070047656078916e-06
19,7.366764489500675e-06
20,7.600102120490225e-06
21,7.812527843124565e-06
22,7.718567516770294e-06
23,7.645670515249445e-06
24,7.660621346897387e-06
25,7.608950609491896e-06
26,7.610084234629803e-06
27,7.465400234608135e-06
28,7.2549092317701265e-06
29,7.507443655549131e-06
30,7.566339636562211e-06
31,7.570570543562161e-06
32,7.575434223088367e-06
33,7.567854781761807e-06
34,6.6360811821959674e-06
35,7.294604738520824e-06
36,7.155418936082192e-06
37,7.59529607780568e-06
38,7.626387017606737e-06
39,7.055605102824973e-06
40,7.4155571315758395e-06
41,7.0345287103052905e-06
42,7.5419045164790814e-06
43,7.3898089987227484e-06
44,7.051647266807962e-06
45,7.500455950365559e-06
46,7.646798615511538e-06
47,7.297352296747337e-06
48,7.622655424417057e-06
49,7.771349382317928e-06
50,7.236198850820447e-06
51,7.6287640066396825e-06
52,7.735609511569442e-06
53,7.689413689723506e-06
54,7.394482079547405e-06
55,7.399149935772995e-06
56,7.643869953000736e-06
57,7.667650005641708e-06
58,7.276115040910888e-06
59,7.540250102100961e-06
60,7.632315311293925e-06
61,7.389136475603842e-06
62,7.258213073064811e-06
63,7.626609685014178e-06
64,7.737900447063762e-06
65,7.625292702170895e-06
66,8.021235160102035e-06
67,7.520850900530281e-06
68,7.409887686903864e-06
69,7.504276590432808e-06
70,7.71896749616846e-06
71,7.5491238952548504e-06
72,7.580843533032128e-06
73,7.567811482759178e-06
74,7.755412504107139e-06
75,7.024213108654702e-06
76,7.456646103467618e-06
77,7.321436049510343e-06
78,7.394289142758341e-06
79,7.239972709237789e-06
80,7.277922315194283e-06
81,7.026068279226581e-06
82,7.009349938631937e-06
83,7.325589796204052e-06
84,7.554224629922315e-06
85,7.669226821150416e-06
86,7.730263781410501e-06
87,7.309607437348589e-06
88,7.054613457180641e-06
89,6.937350416435814e-06
90,7.3197017851677655e-06
91,7.644483922716316e-06
92,7.106378426699724e-06
93,7.398582960656571e-06
94,7.062529726367126e-06
95,7.5686244324611725e-06
96,7.527093091424867e-06
97,6.889398458750218e-06
98,7.408514420600263e-06
99,7.1561608563655215e-06
100,6.9779123045928285e-06
101,7.463780635040635e-06
102,6.687175245503574e-06
103,6.906197003723714e-06
104,7.622230209225562e-06
105,7.640824240654341e-06
106,7.357952827367305e-06
107,7.164994509264793e-06
108,7.011157511371721e-06
109,7.5605467875654515e-06
110,7.528345206490805e-06
111,7.273113517222276e-06
112,7.198897083248721e-06
113,6.9443381225415045e-06
114,7.441601060343652e-06
115,7.480819897842547e-06
116,6.798442230410929e-06
117,7.496491987940515e-06
118,7.519188313599743e-06
119,7.612353355432691e-06
120,7.280598287945285e-06
121,7.352358996900591e-06
122,7.546607744542258e-06
123,7.686434290987838e-06
124,7.63543780924391e-06
125,7.66566669054681e-06
126,7.578083641377526e-06
127,7.605465554592333e-06
128,7.651371337530666e-06
129,7.679736216504835e-06
130,7.70571790376283e-06
131,7.129284729579826e-06
132,7.16289800855701e-06
133,8.218623339665481e-06
134,8.799928398934075e-06
135,8.937625199341685e-06
136,7.847005996329546e-06
137,7.6057111401743686e-06
138,7.120369673654945e-06
139,7.264582772757364e-06
140,8.494029507212432e-06
141,5.079872317029731e-06
142,2.6071831568596737e-06
143,1.3622961905534738e-06
144,8.58203029637456e-07
145,1.1775332497108902e-06
146,1.8346544360414566e-06
147,4.8361091172934225e-06
148,5.625449800204117e-06
149,3.677871192038238e-06
150,2.445997889065542e-06
151,1.359801693700463e-06
152,2.5954596354053224e-06
153,4.673708812476122e-06
154,1.6380076380167435e-05
155,2.1573263671538913e-05
156,1.4345404336366584e-05
157,8.657776112983617e-06
158,9.547675253821322e-06
159,1.8136734589133392e-05
160,2.8000447628608052e-05
161,3.749906146291022e-05
162,2.9386724404915657e-05
163,1.3714579937082133e-05
164,1.0914581024984892e-05
165,1.0309343595057067e-05
166,1.9903490521691613e-05
167,3.070069552020428e-05
168,2.714779943337978e-05
169,1.1651735989703428e-05
170,7.783753537025204e-06
171,1.2613182024003396e-05
