Timestamp,motor.m1,motor.m2,motor.m3,motor.m4
1688649308.6154218,0,0,0,0
1688649308.6254218,0,0,0,0
1688649308.6354218,0,0,0,0
1688649308.6454217,0,0,0,0
1688649308.6554217,0,0,0,0
1688649308.6654217,0,0,0,0
1688649308.6754217,0,0,0,0
1688649308.6854217,0,0,0,0
1688649308.6954217,0,0,0,0
1688649308.7054217,0,0,0,0
1688649308.7154217,0,0,0,0
1688649308.7254217,0,0,0,0
1688649308.7354217,0,0,0,0
1688649308.745422,0,0,0,0
1688649308.7554219,0,0,0,0
1688649308.7654219,0,0,0,0
1688649308.7754219,0,0,0,0
1688649308.7854218,0,0,0,0
1688649308.7954218,0,0,0,0
1688649308.8054218,0,0,0,0
1688649308.8154218,0,0,0,0
1688649308.8254218,0,0,0,0
1688649308.8354218,0,0,0,0
1688649308.8454218,0,0,0,0
1688649308.8554218,0,0,0,0
1688649308.8654218,0,0,0,0
1688649308.8754218,0,0,0,0
1688649308.8854218,0,0,0,0
1688649308.8954217,0,0,0,0
1688649308.9054217,0,0,0,0
1688649308.9154217,0,0,0,0
1688649308.9254217,0,0,0,0
1688649308.9354217,0,0,0,0
1688649308.9454217,0,0,0,0
1688649308.9554217,0,0,0,0
1688649308.9654217,0,0,0,0
1688649308.9754217,0,0,0,0
1688649308.9854217,0,0,0,0
1688649308.995422,0,0,0,0
1688649309.0054219,0,0,0,0
1688649309.0154219,0,0,0,0
1688649309.0254219,0,0,0,0
1688649309.0354218,0,0,0,0
1688649309.0454218,0,0,0,0
1688649309.0554218,0,0,0,0
1688649309.0654218,0,0,0,0
1688649309.0754218,0,0,0,0
1688649309.0854218,0,0,0,0
1688649309.0954218,0,0,0,0
1688649309.1054218,0,0,0,0
1688649309.1154218,0,0,0,0
1688649309.1254218,0,0,0,0
1688649309.1354218,0,0,0,0
1688649309.1454217,0,0,0,0
1688649309.1554217,0,0,0,0
1688649309.1654217,0,0,0,0
1688649309.1754217,0,0,0,0
1688649309.1854217,0,0,0,0
1688649309.1954217,0,0,0,0
1688649309.2054217,0,0,0,0
1688649309.2154217,0,0,0,0
1688649309.2254217,0,0,0,0
1688649309.2354217,0,0,0,0
1688649309.245422,0,0,0,0
1688649309.2554219,0,0,0,0
1688649309.2654219,0,0,0,0
1688649309.2754219,0,0,0,0
1688649309.2854218,0,0,0,0
1688649309.2954218,0,0,0,0
1688649309.3054218,0,0,0,0
1688649309.3154218,0,0,0,0
1688649309.3254218,0,0,0,0
1688649309.3354218,0,0,0,0
1688649309.3454218,0,0,0,0
1688649309.3554218,0,0,0,0
1688649309.3654218,0,0,0,0
1688649309.3754218,0,0,0,0
1688649309.3854218,0,0,0,0
