Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
0,0.024120066,0.22690354,46.576645,-5.1500807,0.34165534,-2.9463153,-5.0463123,-5.2991004,0.3191533,-3.2817886,-5.6304917,41.426586,1.8996463,43.515312,34.162178,65.01168,2082.4768,2864.2744,-3035.6453,2.0,0.0,2.0,2.0
1,22.525234,0.070579246,146.13881,-11.714426,1.5521493,0.13295276,-17.716188,-16.415932,2.133197,0.121549524,-17.156294,129.48892,16.647383,131.58629,-2.6456044,4210.2666,11380.367,20401.98,-12547.103,-19.68917,2.4671216,-0.08978485,-20.0
2,0.7528131,0.29405385,158.09708,-28.617369,3.7747889,-0.017940525,-31.020529,-27.929216,3.7049134,-0.00831658,-31.001425,129.47757,16.737473,131.58629,-3.371994,16230.349,21709.727,38939.332,-16697.697,-19.689466,2.4647887,-0.101703934,-20.0
3,1.3950543,2.444953,72.44021,-32.031586,5.9567304,-0.098011404,-34.38393,-33.113724,6.1824455,-0.109224185,-40.80753,40.280113,7.65182,43.435165,-1.8848422,15486.342,21360.73,41325.773,-17461.023,1.9315548,0.3812042,2.0,-0.27858418
4,1.9761409,2.295547,76.35092,-33.88016,6.3256135,-0.06152717,-40.283253,-35.02521,6.397675,-0.064539894,-40.710228,40.2147,7.612361,43.547657,-2.0683498,15484.564,22233.615,42663.49,-19252.451,1.9284552,0.39880306,2.0,-0.44888175
5,4.709214,2.908118,77.15199,-32.650887,4.335814,-0.1792499,-39.03606,-34.702507,4.502256,-0.16472727,-38.6808,40.87399,5.549454,43.334503,-1.7573439,11631.523,19348.232,34642.125,-17760.48,1.9648186,0.2795021,2.0,-0.3730805
6,8.79656,9.4158325,79.3861,-38.227066,4.9793954,-0.057123996,-39.452564,-35.29574,4.6078897,-0.026907926,-40.01045,41.14558,5.5446315,43.474937,-1.871671,13838.104,21204.719,38650.777,-19835.04,1.964873,0.27887323,2.0,-0.3251896
7,1.5115759,1.1034596,78.28703,-35.079678,1.5046663,-29.104927,-49.39696,-36.005108,2.134009,-29.793528,-50.190655,41.319912,1.4562867,43.514248,36.739174,10051.67,19770.002,30887.342,-22092.916,2.0,0.0,2.0,2.0
8,1.7724907,1.6881995,122.29242,-35.035004,4.4511127,-0.38881016,-42.705757,-36.004364,4.5738916,-0.18552542,-39.381294,85.20885,11.034003,87.55079,-2.089186,-36038.89,10440.839,-0.7373242,-47900.195,-8.864722,10.966424,2.0,-20.0
9,0.71770376,3.90233,80.88293,-37.554848,5.0966434,0.40371558,-44.85582,-38.27594,5.1330733,0.324441,-42.306095,40.776108,5.3922753,43.197037,0.007845998,-70491.43,54534.74,11028.418,-141555.45,1.9630265,0.29377335,2.0,-0.52201027
10,3.8431268,3.9124708,101.558235,-38.221497,5.067125,1.1889751,-41.251972,-40.13504,5.3086514,1.11857,-42.946857,63.169655,7.7473373,65.49096,2.5748155,-104613.54,34642.16,-0.64828306,-156573.88,-3.4517944,9.459311,2.0,-20.0
11,0.48966593,0.7371892,110.3544,-47.172447,6.4435935,1.8663356,-51.06387,-46.49208,6.357188,1.8657687,-48.954453,63.05653,7.326418,65.56714,5.8668547,-103406.47,37763.844,1.2735355,-165352.05,-3.4543285,9.458531,2.0,-20.0
12,1.4379706,1.6990986,116.9935,-52.60521,2.0428224,-43.346275,-54.37852,-51.45681,1.9051265,-42.520454,-53.56157,64.21724,1.0773572,65.56169,61.110413,-105572.93,34608.5,-51934.15,-159428.88,-3.5,9.526279,2.0,-20.0
13,12.27656,8.196499,118.01006,-54.920876,8.997526,11.404645,-52.253426,-51.518127,8.442773,11.418374,-55.279987,63.067993,7.06112,65.565384,7.972809,-97141.11,42789.277,2.1040323,-170127.84,-3.455461,9.458173,2.0,-20.0
14,9.266041,4.734474,88.54794,-46.813557,11.678381,18.093317,-52.712257,-49.77331,12.192156,18.045973,-56.309513,40.630047,4.8389,43.47652,13.985889,-108859.625,31788.51,2.6479273,-156239.39,1.9162918,0.46672708,2.0,-0.8485975
15,0.6855527,0.18367086,94.671555,-53.211456,1.6891087,-47.074005,-54.735027,-52.47683,1.5653143,-45.931442,-54.111805,41.382236,1.4620334,43.435505,37.05917,-110576.484,28674.607,-78622.625,-162885.84,2.0,0.0,2.0,2.0
16,1.0787988,2.0392275,86.77596,-45.418007,27.318521,65.10608,-57.233986,-46.182045,27.072346,64.392654,-58.987392,39.752995,6.9338517,43.522575,11.069303,-104506.04,38405.527,2.709343,-163413.08,1.8316538,0.65295875,2.0,-0.8756241
17,2.02456,1.3567162,92.21692,-49.21946,23.798271,82.770386,-59.012337,-50.571426,23.955885,82.269745,-57.506607,40.720306,5.591695,43.27714,8.522105,-106143.805,36900.13,2.270731,-167906.39,1.9189417,0.45201397,2.0,-0.80307853
18,4.2712536,25.139887,98.83924,-54.64334,23.825285,132.95326,-67.176025,-52.830284,23.69685,134.16267,-60.920322,41.35451,3.6236105,43.4274,15.175042,-113655.78,31261.764,-2.1390002,-158205.1,1.9580219,0.3333072,2.0,-0.75187117
19,2.5473204,4.695277,95.63044,-53.80976,4.0273795,-28.940086,-58.829384,-55.35554,4.074274,-30.502872,-58.917423,41.694336,1.6201427,43.518227,36.892536,-86916.58,60453.406,-14821.484,-178159.02,2.0,0.0,2.0,2.0
20,628.58417,671.33746,105.73447,-58.94799,4.5783143,-26.58558,-69.39539,-55.551178,28.99403,173.95062,-63.13529,41.722744,1.2832235,43.48664,38.527084,-92841.945,59142.316,-10367.3955,-180167.02,2.0,0.0,2.0,2.0
21,5.1505265,3.4520202,88.30078,-44.09892,62.73204,246.75826,-64.43224,-46.292244,63.025696,246.0115,-63.44038,40.631786,4.868711,43.440567,18.876245,-82538.53,64101.473,3.3767707,-179908.73,1.877358,0.55336237,2.0,-0.7328485
22,4.267316,2.5616903,87.45033,-46.380615,61.534573,296.02563,-59.810043,-48.37049,62.05246,296.83524,-61.28824,40.68595,3.9607022,43.4712,17.697937,-103115.22,47143.652,3.1118627,-164636.98,1.9166023,0.46463868,2.0,-0.82406414
23,4.2287064,3.2243571,93.39541,-51.66028,48.08752,329.70883,-59.49719,-53.58111,48.706753,332.71545,-61.44067,41.500393,3.4107287,43.384445,16.049484,-76483.984,45846.46,3.603219,-147575.19,1.96698,0.2919507,2.0,-0.75920796
24,0.80272037,3.8870735,89.8035,-47.770027,74.153404,365.15787,-64.734764,-47.052544,73.87306,364.11374,-62.06141,41.07859,4.154843,43.5381,18.473488,-49244.88,53824.137,18355.777,-122206.83,1.9247844,0.45874885,2.0,-1.2307006
