Timestamp,motor.m1,motor.m2,motor.m3,motor.m4
1688648223.995861,0,0,0,0
1688648224.005861,0,0,0,0
1688648224.015861,0,0,0,0
1688648224.025861,0,0,0,0
1688648224.035861,0,0,0,0
1688648224.045861,0,0,0,0
1688648224.055861,0,0,0,0
1688648224.065861,0,0,0,0
1688648224.075861,0,0,0,0
1688648224.085861,0,0,0,0
1688648224.095861,0,0,0,0
1688648224.105861,0,0,0,0
1688648224.115861,0,0,0,0
1688648224.1258612,0,0,0,0
1688648224.1358612,0,0,0,0
1688648224.1458611,0,0,0,0
1688648224.1558611,0,0,0,0
1688648224.1658611,0,0,0,0
1688648224.1758611,0,0,0,0
1688648224.185861,0,0,0,0
1688648224.195861,0,0,0,0
1688648224.205861,0,0,0,0
1688648224.215861,0,0,0,0
1688648224.225861,0,0,0,0
1688648224.235861,0,0,0,0
1688648224.245861,0,0,0,0
1688648224.255861,0,0,0,0
1688648224.265861,0,0,0,0
1688648224.275861,0,0,0,0
1688648224.285861,0,0,0,0
1688648224.295861,0,0,0,0
1688648224.305861,0,0,0,0
1688648224.315861,0,0,0,0
1688648224.325861,0,0,0,0
1688648224.335861,0,0,0,0
1688648224.345861,0,0,0,0
1688648224.355861,0,0,0,0
1688648224.365861,0,0,0,0
1688648224.3758612,0,0,0,0
1688648224.3858612,0,0,0,0
1688648224.3958611,0,0,0,0
1688648224.4058611,0,0,0,0
1688648224.4158611,0,0,0,0
1688648224.4258611,0,0,0,0
1688648224.435861,0,0,0,0
1688648224.445861,0,0,0,0
1688648224.455861,0,0,0,0
1688648224.465861,0,0,0,0
1688648224.475861,0,0,0,0
1688648224.485861,0,0,0,0
1688648224.495861,0,0,0,0
1688648224.505861,0,0,0,0
1688648224.515861,0,0,0,0
1688648224.525861,0,0,0,0
1688648224.535861,0,0,0,0
1688648224.545861,0,0,0,0
1688648224.555861,0,0,0,0
1688648224.565861,0,0,0,0
1688648224.575861,0,0,0,0
1688648224.585861,0,0,0,0
1688648224.595861,0,0,0,0
1688648224.605861,0,0,0,0
1688648224.615861,0,0,0,0
1688648224.6258612,0,0,0,0
1688648224.6358612,0,0,0,0
1688648224.6458611,0,0,0,0
1688648224.6558611,0,0,0,0
1688648224.6658611,0,0,0,0
1688648224.6758611,0,0,0,0
1688648224.685861,0,0,0,0
