Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
0,0.019035654,0.009016513,-0.72158754,0.37982777,0.5077327,3.8370795,0.19782068,0.4291319,0.5241383,3.6425607,0.19531818,-0.2250773,3.657242,9.889408,-3.187876,0.5669404,0.77281135,2.8609776,-0.37614363,-0.26303485,0.18912226,-0.07586538,-0.77441126
1,0.3554693,0.36906138,-2.519494,5.476201,5.0801797,19.649782,0.3437536,5.48075,5.0121856,19.017368,0.35678458,3.9592476,4.6232758,16.466787,-3.0340724,0.30100948,1.7634836,3.8538985,-3.3261423,-0.44764352,0.25129166,0.26589754,-0.90920234
2,0.7390881,0.5846709,-18.693092,23.098013,11.949921,40.104942,0.36239573,22.693703,11.840303,39.010178,0.36955187,7.010298,5.0469656,16.570108,-3.138343,0.83659506,2.0043204,4.4363623,-3.0638342,-0.5393464,0.26007667,-0.04169745,-1.1980753
3,2.4863155,2.352551,-60.90207,64.048355,27.588488,93.85793,0.4590351,63.65674,27.63811,93.79728,0.46702036,9.406288,5.107071,16.69782,-2.880124,1.523864,1.9921743,4.6012616,-3.5128715,-0.63374496,0.2618911,-0.07927105,-1.2357054
4,43.269257,41.810608,-136.50063,136.16055,56.49118,204.50165,0.5501928,136.68729,54.772934,205.52008,0.50421613,15.50303,5.515805,30.091862,-2.9909694,2.4545941,1.9487482,5.639864,-4.92865,-0.7569843,0.21824822,0.07682152,-1.5020825
5,68.2623,57.49735,-344.23187,333.03436,137.47673,467.72083,9.785371,333.65326,138.69844,468.28372,9.276768,24.043247,7.991693,53.7068,9.138444,2.682022,3.6059349,13.064194,-13.962885,-0.91312295,0.5626656,0.8941581,-2.1335735
6,498.17685,351.31238,-779.67334,740.4623,304.45038,1047.1385,94.16094,747.87354,310.55682,1078.3938,70.54388,26.840942,9.103857,46.662582,10.2006855,0.873667,8.625668,9.252216,-39.33114,-0.36140645,0.7162045,2.0,-1.3507934
7,725.69574,1149.8469,-1901.1514,1795.6691,591.20483,2343.0679,365.58493,1788.8938,595.2387,2345.8516,365.82516,44.717106,5.8231454,59.086487,25.917862,4.8604393,42.656834,191.3392,-209.3131,0.31824768,1.6647137,2.0,-4.800995
8,3009.2986,3843.1587,-4138.9473,3841.9534,1145.0408,5231.2075,850.1098,3861.8276,1141.1202,5215.6885,908.2104,41.79045,3.7479725,48.50129,28.253532,9.48316,86.04086,222.91939,-330.7453,1.6350225,0.8273451,2.0,-2.133742
9,14040.82,12480.481,-8290.451,7729.677,1979.2472,10199.993,2624.7747,7716.9785,1979.8054,10429.698,2652.8318,41.812042,1.7226979,47.2797,37.28218,8.404297,136.8837,510.20987,-809.5818,1.8802657,0.51447886,2.0,-1.8963665
10,71441.086,54716.484,-16463.375,15270.189,3819.455,19990.68,242.66855,15274.84,3793.6047,19951.592,278.72855,41.457306,2.7286098,46.872196,28.732544,15.034797,142.33821,422.40366,-636.091,1.9240521,0.34438005,2.0,-1.0233166
11,261264.75,239128.17,-34042.91,31660.48,5267.154,40410.125,12300.275,31656.777,5401.9453,40391.723,10815.284,41.44124,1.7190177,43.414085,33.620094,175.89404,124.63267,531.9248,-388.77426,2.0,0.0,2.0,2.0
12,746223.75,780862.7,-64800.395,60081.35,10509.559,81139.92,34354.215,60576.08,10502.143,81038.97,34543.215,41.55082,1.3236483,43.54013,37.127068,222.71529,125.50487,586.04987,-196.46835,2.0,0.0,2.0,2.0
13,2104797.0,2339135.2,-117461.375,109330.36,24585.215,142852.52,10853.276,109657.016,24306.846,143096.69,10423.318,41.11779,2.7933624,43.38484,25.83621,227.01685,157.8718,691.9615,-263.22916,2.0,0.0,2.0,2.0
14,8674802.0,9337710.0,-205953.31,193099.05,47984.457,262244.38,18190.521,193253.78,47790.637,261952.7,18230.309,41.615025,1.2672317,43.48123,37.561417,314.30508,183.53418,712.7486,-367.9442,2.0,0.0,2.0,2.0
15,269899970.0,262275220.0,-366198.88,343846.22,73200.75,454217.12,1.6608644,341096.34,76165.69,452912.28,1.2052885,41.527596,1.3242548,43.282562,38.61531,306.04492,181.76456,790.89844,-353.14633,2.0,0.0,2.0,2.0
16,46604148.0,46768950.0,-628399.7,591976.6,102257.84,756255.5,91859.445,592026.9,102630.664,751961.9,87139.01,41.689377,1.622702,43.51351,35.341896,340.98065,223.62062,956.6193,-459.17035,2.0,0.0,2.0,2.0
17,355811100.0,397577280.0,-1026960.1,970563.75,191905.6,1216890.4,2.0224133,967199.6,194159.61,1206564.8,1.5815338,41.121223,1.6567957,43.387753,36.36316,412.1319,254.01402,1005.5366,-403.3232,2.0,0.0,2.0,2.0
