Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
0,1.131758,1.0672506,51.3052,-48.744576,9.677303,-26.10835,-77.87023,-48.761368,9.532724,-26.028599,-75.88144,4.122271,2.9236667,11.881014,-2.4688857,-0.12822169,1.5491463,3.4489703,-4.1608577,-0.68354505,0.2207926,-0.14017338,-1.9775003
1,3.782952,3.6990008,94.62692,-89.83685,22.420395,-37.640163,-150.84355,-88.814415,22.515781,-37.457016,-150.15515,7.409784,4.834678,23.670809,-1.1913493,-0.9305446,1.7813036,2.8384926,-6.066444,-1.0889044,0.34824666,-0.22808081,-2.3095887
2,11.520877,9.823141,115.77725,-111.70859,26.526941,-56.992584,-209.05814,-111.808914,26.270624,-57.54498,-205.68541,6.412607,3.285999,16.484991,-1.1934276,-0.2361804,1.9071593,5.949934,-3.571269,-0.80693287,0.34410068,0.31139615,-1.5589361
3,4.695161,4.0364313,138.43443,-133.19402,32.02015,-76.1715,-239.27892,-132.95752,31.49136,-79.2785,-237.02385,8.113246,4.305169,29.7221,2.14178,-0.8582737,1.9340029,4.098067,-5.3024297,-0.94069993,0.38920704,0.5058844,-1.9037875
4,11.947394,14.731092,181.66528,-171.67557,47.39294,-73.92749,-305.49496,-173.16785,47.8472,-78.28891,-302.00662,8.774982,6.6051598,31.784595,0.717,-0.55574214,2.3432002,8.318224,-7.038443,-0.8081138,0.46284062,2.0,-1.5127759
5,19.592058,16.710844,184.45952,-175.92046,45.585087,-82.08792,-324.2027,-177.87048,46.25069,-82.76239,-324.46124,11.358665,4.856223,20.685795,3.6955266,-1.6325183,2.01473,4.262448,-5.1454372,-0.91535133,0.35179615,-0.08941272,-1.791816
6,15.312932,10.81512,194.42682,-186.46262,41.176308,-113.84339,-345.79263,-188.20279,41.432415,-112.2527,-348.8001,8.838619,4.0399933,19.082932,-0.5381174,-1.4978763,1.6321135,4.0537515,-4.9722385,-0.86768013,0.3915557,0.21162689,-1.6880765
7,10.122507,7.57753,219.4751,-214.33337,50.012726,-128.19643,-362.48212,-215.01187,50.449966,-128.10713,-357.24,5.9767046,4.0587773,15.544952,-1.8457625,-1.0240605,1.4748001,3.289927,-3.7546384,-1.0047884,0.50277054,-0.0016397834,-3.1166182
8,9.644144,15.294861,253.28201,-246.76181,58.035954,-127.833916,-402.37527,-244.85175,57.600304,-124.61059,-401.24893,9.348028,3.98794,20.253529,1.4717809,-1.4521241,1.6794442,3.388108,-4.093928,-0.992159,0.3704861,-0.17563343,-3.0954828
9,9.585465,13.033966,277.10336,-269.14703,58.970226,-132.59007,-472.64636,-269.85986,59.57114,-131.72183,-467.28027,7.886094,3.167239,15.681555,0.37581503,-0.76440674,1.5894051,3.0169983,-3.9802334,-1.3728836,0.7742526,-0.19056219,-3.600149
10,15.096243,17.858744,285.6065,-278.89288,69.611435,-122.930695,-497.4881,-280.02512,69.82668,-124.9269,-500.8404,7.5831137,3.068993,19.238485,2.7961125,-0.053006973,1.7154293,4.217675,-3.3031747,-1.4871904,1.0284028,0.10095632,-5.0084057
11,11.744812,24.168097,315.28613,-303.1917,69.55227,-118.00749,-539.29663,-303.31506,69.3969,-119.35885,-529.4985,12.79223,8.016896,39.152565,2.3578305,0.31833288,2.8981543,12.12024,-8.57124,-1.284347,1.1929061,1.1802453,-4.5338435
12,18.708174,15.427238,316.13724,-309.3715,76.78973,-101.619644,-554.40826,-310.50812,77.51791,-98.88224,-560.51935,11.730888,4.7872033,28.703896,0.7938967,-0.70475435,2.3844981,4.68013,-5.369773,-1.0955094,0.61470896,2.0,-3.4684458
13,25.081451,46.070457,323.06644,-312.66235,65.13964,-107.25598,-521.15125,-311.132,66.11848,-105.81284,-511.1085,13.421341,6.8845954,36.836864,1.77274,-1.0395012,2.7629604,7.115111,-7.6835656,-0.7979327,0.52460694,1.659285,-2.6471815
14,16.03693,25.289227,306.1463,-299.15234,87.21031,-125.36313,-600.02405,-298.8009,87.72437,-121.7032,-602.0098,10.43301,5.33789,24.779182,-0.5141144,-0.33500513,2.4774337,9.643464,-5.1637278,-0.80330086,0.5212379,2.0,-2.1399088
15,24.713852,33.921745,322.09863,-313.64008,90.42216,-129.71526,-586.59235,-315.98914,90.70166,-132.53938,-599.4819,12.137012,6.149348,39.67064,2.9269993,-0.737756,2.832649,10.403112,-7.9056253,-0.79342234,0.44630423,1.6982843,-1.6216087
16,54.164146,20.527546,321.80618,-315.91516,83.75704,-152.83202,-609.28156,-310.43768,81.13924,-152.83464,-602.2092,12.710907,5.685939,30.286257,-2.1851988,-1.5260406,2.4047668,5.538058,-7.150006,-0.901604,0.41908768,0.22776079,-2.037789
17,12.331145,14.071293,290.8899,-282.4748,57.59114,-148.94989,-422.51608,-283.01306,58.513508,-148.0712,-426.5084,10.943956,5.010598,25.889633,1.5694177,-0.21772358,2.5142262,5.240975,-6.8590994,-1.0342294,0.6729519,0.51619375,-2.794806
18,39.596367,29.871357,345.26935,-336.50488,98.0027,-163.3603,-696.43695,-332.93478,96.2081,-159.74379,-692.57996,13.334083,4.939847,25.2021,0.17119431,-0.9928181,2.6559935,6.0203424,-5.610796,-0.87478864,0.49851862,2.0,-2.4188554
19,18.41072,25.278984,303.34717,-294.84573,98.24087,-150.45804,-606.5576,-293.62576,97.359795,-157.98901,-607.6253,12.505058,4.978414,24.424187,3.4608362,-1.5766664,2.197276,3.969748,-5.285623,-0.9457495,0.38750398,0.092571616,-2.1299841
20,19.8432,66.921844,299.36005,-286.25043,85.65897,-161.12949,-783.7316,-286.40973,87.2635,-158.99283,-769.7917,12.778164,5.90335,26.07417,1.1848062,-1.6697584,2.2810051,4.1022296,-6.50971,-0.7934356,0.38686812,0.68452907,-1.6273446
21,80.82453,23.285336,329.55276,-319.7913,147.15723,-153.66658,-805.44055,-313.4273,143.32227,-146.92776,-805.2086,14.546404,4.180024,25.500284,3.3593667,-1.2269273,2.7606125,5.4590464,-5.610285,-0.7639029,0.40761274,0.21801269,-1.9550867
22,18.213505,20.951395,309.36578,-300.418,119.231544,-149.9529,-876.7204,-299.25153,118.62673,-147.17307,-875.79645,12.9772005,6.0254045,32.5148,3.169255,-0.86934924,2.7215948,7.9343357,-4.8003607,-0.92787784,0.38803092,0.07705796,-2.6981153
23,31.812157,42.32956,307.28482,-298.63367,92.38065,-167.43132,-633.67944,-299.62927,92.819405,-163.78755,-638.45575,11.326193,4.7255435,23.092121,2.818529,-1.1293426,2.199738,3.785644,-5.7058754,-1.0563223,0.61180395,0.059871435,-4.5424824
24,95.68831,51.70082,322.91663,-311.83005,131.90222,-120.219,-866.65216,-305.00433,127.86541,-116.723915,-860.96466,14.713845,5.2770977,28.105179,4.4763484,-1.3328791,2.7767522,6.61508,-7.0427866,-0.8901389,0.56171733,0.85563767,-2.9010565
25,43.79159,35.00366,336.00897,-324.52606,116.39153,-125.65782,-877.7147,-327.9466,117.860985,-125.95188,-875.94147,13.046366,5.925648,30.955515,0.13526022,-1.1450567,2.5434027,6.8033967,-6.507886,-0.9982985,0.580429,1.0680556,-3.4718738
26,28.099503,36.678036,286.6762,-276.66718,88.23009,-115.99295,-461.96173,-274.1849,86.48865,-117.14476,-450.51288,14.961362,6.4708343,33.72083,2.6069775,-1.0974116,2.8801599,7.8837295,-5.551756,-0.91607714,0.51538116,0.39367175,-3.1655421
27,22.237034,21.411358,335.22684,-323.73325,168.31078,-138.65108,-857.4778,-322.86276,166.73521,-137.88187,-849.8555,15.041839,4.7839785,27.687841,4.313819,-0.84073853,3.0335245,7.232815,-5.4262676,-0.8009745,0.50566286,1.0333587,-2.7287054
28,17.108803,18.868063,350.243,-337.89523,153.22525,-122.32473,-864.3638,-338.34702,154.6562,-121.48768,-872.61456,14.138838,5.622649,27.055294,2.181967,-1.1144204,2.8856392,8.298157,-14.718944,-1.1931517,1.010804,2.0,-4.144359
29,35.932312,27.080315,363.46213,-348.1349,158.73537,-125.4699,-916.1485,-350.54865,160.40027,-126.01411,-911.04034,14.02078,5.8796835,26.592781,-1.8125906,-0.8618082,2.725964,7.5272536,-6.3254533,-1.3313692,1.1396428,0.783895,-4.307044
30,40.118954,32.503933,380.20007,-366.1875,185.52177,-118.209305,-994.20404,-368.66254,187.24539,-121.15741,-974.32983,12.257896,4.3953757,26.816195,4.3298507,-0.6857959,2.4714427,6.472357,-7.475482,-1.2912312,1.163495,0.8743893,-4.748599
31,21.242805,37.376686,337.69974,-328.4937,172.0988,-99.32433,-1090.6287,-329.35034,170.8188,-98.061775,-1090.5186,11.915262,5.6350217,36.48491,4.3408914,-0.59502506,2.4591389,7.6929655,-6.572228,-1.4466778,1.1643174,0.94289756,-5.137592
32,112.929596,22.35904,385.39008,-379.00287,234.8236,-107.735466,-1189.4856,-370.76965,229.23526,-105.577805,-1178.0466,13.556661,5.8838077,26.410131,3.5123963,-0.8965214,2.7801917,9.450647,-6.077716,-1.1515507,0.9825693,0.4445889,-4.5860167
33,29.059582,32.79866,364.97092,-350.04828,178.36032,-84.21995,-1225.9146,-351.21146,178.93394,-83.92942,-1219.3186,16.596592,8.382711,34.427444,2.4006286,0.040672183,3.436535,9.921296,-5.470057,-1.0476222,0.9564116,1.6716015,-4.689453
