Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
0,0.006224693,0.0025153896,-2.309228,0.47028595,0.38416374,2.9377391,0.25210857,0.528311,0.41379455,2.9874694,0.26089278,-1.8157943,1.8622719,6.224657,-4.8741355,0.38074657,0.50452375,2.1787896,-1.3843386,-0.2304826,0.17836316,-0.031455234,-0.92553526
1,0.017103434,0.014104357,-1.1093729,1.626606,2.1328743,11.271018,0.43491733,1.7051324,2.1928456,11.232007,0.4623871,0.65421987,2.0732696,5.581124,-4.77603,0.7218305,0.8587149,2.4492848,-1.0076523,-0.389081,0.23072381,-0.064318925,-1.2235225
2,0.05960384,0.013837881,-2.7753186,2.707905,1.2899711,10.367648,1.0443932,2.8124852,1.4536383,11.863438,1.0429014,0.12117567,2.3387606,3.4300718,-7.343762,0.7392633,0.8971884,2.7272985,-1.0069933,-0.31934053,0.2578301,0.019067332,-1.1394078
3,0.009551369,0.012919107,-3.9904604,5.2866783,2.0482633,19.95973,1.2738513,5.2207785,2.046502,19.848907,1.2423655,1.6573695,1.5196356,4.5574317,-2.4971669,0.93278736,0.9564745,2.7872765,-0.5925676,-0.3068485,0.25607404,0.09633104,-1.1462514
4,0.019219697,0.012649074,-8.1486435,9.296944,4.059515,30.185093,1.1549656,9.297707,3.9650989,29.416811,1.3416673,1.7858744,2.0379636,5.8426743,-5.9864798,1.007702,1.1178967,3.1409159,-1.2625009,-0.1818324,0.3154621,0.35226655,-0.93723834
5,0.020140642,0.01912131,-13.7090225,17.311283,3.73477,20.230713,0.88054264,17.312122,3.7216256,20.298094,0.7872179,5.2932982,2.669085,13.163317,-0.5597088,1.1558475,1.5754538,3.7048419,-2.8971088,-0.3211367,0.28041244,0.40976185,-0.8671062
6,0.27071336,0.35684007,-47.47866,48.70095,9.947162,59.073124,0.75626934,48.619682,9.909627,59.208622,0.8054234,7.719078,4.3478217,21.31416,-2.536438,0.6896429,2.3121943,4.8211255,-3.2703154,-0.40843415,0.29216143,0.29430926,-1.0071974
7,3.8866873,5.593867,-258.97797,225.1369,55.597473,252.62245,0.6063735,225.27414,55.526638,252.43066,0.65479195,16.820107,4.4913964,26.230383,5.8347683,0.3604828,3.508068,6.480399,-6.260094,-0.5664039,0.3631802,1.4428204,-1.0941403
8,52.04503,111.83263,-2833.713,2260.6223,233.66621,2343.6304,409.79837,2262.2764,233.2076,2341.3071,416.19788,32.95185,7.2062244,51.5734,11.329923,1.3092833,9.54838,54.68857,-31.969784,-0.7136661,0.7925991,2.0,-4.0649443
9,21523.547,15255.9,-31651.133,24779.85,6882.909,27776.13,2082.4143,24867.781,6928.4873,27737.598,1978.9126,45.28911,7.3063307,57.414474,23.394632,-0.92378354,32.30196,116.982,-119.06059,0.07463973,1.6932379,2.0,-6.3615065
10,16976222.0,24390320.0,-385178.3,297627.72,72069.29,329143.3,20933.998,298361.38,71109.516,328077.12,20570.746,47.588585,4.7924347,57.605553,31.434841,9.317583,61.26981,224.64624,-177.11269,0.36528206,1.7679515,2.0,-8.158387
