Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
0,45.13195,64.07573,215.57188,-216.38695,58.33858,-80.05187,-401.55838,-214.44992,58.40902,-79.70241,-417.32812,13.132387,5.504463,26.85857,3.9128604,-0.8556006,2.6329,5.0441422,-5.470449,-1.0788176,0.24569732,-0.47328007,-1.6538703
1,600.4561,577.0807,342.991,-345.56763,111.073456,-104.89174,-608.8799,-345.10654,116.12839,-101.33794,-627.0558,14.3172245,5.1382194,28.961548,3.5863984,-1.1690187,2.8984325,5.6919885,-11.150464,-1.1605589,0.31701377,-0.091015816,-1.9989897
2,202.21864,260.77747,449.3231,-453.68,162.24811,-136.03407,-954.49554,-460.049,165.02689,-134.73973,-991.3859,16.52286,8.817185,51.221294,5.335273,-1.3969865,3.0746887,7.1278276,-7.874869,-1.012557,0.42380157,0.57886565,-2.6591015
3,507.42218,321.83484,580.3264,-588.74817,225.10667,-242.85707,-1260.0579,-580.3719,222.44165,-226.5558,-1245.4971,17.326921,8.607867,43.478172,2.4779787,-1.3137913,3.3804512,10.308844,-7.775109,-0.92275643,0.47965112,0.92066574,-2.0778935
4,423.79193,575.61316,681.7547,-682.6848,282.8348,-220.88087,-1454.0894,-675.27136,278.17892,-221.38417,-1387.9778,16.383923,7.164636,36.697224,6.139146,-1.1461248,3.356688,15.581512,-14.267784,-1.0857041,0.6004095,2.0,-2.777022
5,370.24078,275.01553,740.6635,-745.2071,266.91312,-290.9256,-1505.4111,-745.2156,270.56543,-290.92267,-1500.8842,19.32892,9.545716,54.686634,8.691868,-1.0941736,3.7225423,10.111254,-10.205048,-1.1432686,0.55686176,1.6367152,-2.912331
6,311.89325,426.45154,800.04193,-800.15106,309.02698,-319.38266,-1734.5884,-802.14856,313.2318,-315.8747,-1752.7018,18.187023,8.79138,43.302788,5.9165435,-2.172871,9.221814,30.513895,-49.67085,-0.90432256,0.8932352,2.0,-2.4030125
7,401.03003,541.2922,857.8418,-854.0735,339.58646,-370.9237,-1901.4943,-848.9377,342.3739,-355.64093,-1886.51,18.920013,8.527336,42.60933,5.137808,-1.1261108,10.485909,74.60107,-72.98332,-0.7627487,0.76557946,2.0,-2.0589848
8,905.5476,450.157,982.02563,-984.8766,404.98618,-346.12695,-2047.1384,-964.2611,401.39563,-323.53262,-2047.3223,19.701527,9.387728,43.08546,4.3718634,-1.7540176,11.291396,73.68152,-81.58535,-0.99949104,0.89421964,2.0,-3.3345485
9,1643.1152,566.2029,937.2677,-945.503,400.2855,-425.1593,-2159.4775,-912.7052,389.2481,-408.21786,-2171.0579,16.678198,7.073832,42.213726,5.4169416,-0.96172297,17.965614,158.78441,-154.18,-1.0084355,0.79685163,2.0,-3.132153
10,614.20703,514.9551,991.54126,-992.7523,533.35626,-366.22202,-2404.0051,-980.4934,530.1839,-377.61853,-2399.0674,20.664955,9.046895,43.297028,8.223232,-1.8081436,31.756252,156.14616,-168.52267,-0.8992739,1.0970427,2.0,-2.9238234
11,1228.001,2469.5881,995.93396,-984.2283,500.27094,-351.93573,-2827.8738,-979.1859,490.09525,-337.30188,-2731.1895,21.621725,9.0685005,43.293198,4.47276,-0.2000664,21.754725,161.15692,-172.25105,-0.83915216,0.9049309,2.0,-2.4596105
12,2749.6406,2733.8628,908.75714,-919.27295,572.8454,-341.40826,-2848.5962,-917.1764,560.2225,-339.37332,-2897.3848,17.244385,7.6673794,45.199276,9.0327015,-1.0973239,31.947338,186.32948,-203.2344,-1.2180107,0.962204,2.0,-2.9488444
13,994.8758,853.5765,1096.408,-1103.3301,596.4358,-386.57693,-3197.3474,-1093.8542,596.96484,-346.82413,-3219.138,23.33836,8.814167,42.90415,9.439552,-1.2514462,28.05852,164.00519,-188.17062,-0.973445,1.0314358,2.0,-2.6826267
14,774.0415,1038.8177,983.4171,-984.83606,490.8531,-452.2628,-3194.6711,-985.9745,494.27737,-452.57916,-3234.458,23.46598,8.035684,45.732788,10.577375,-2.4695084,43.792107,188.88486,-294.47876,-1.1059171,1.0048379,2.0,-3.2018967
15,1590.793,1007.62494,1091.5571,-1097.5902,549.0118,-435.29175,-3133.824,-1072.611,538.8724,-430.09348,-3064.5298,19.118713,7.594915,42.49691,6.9691706,-3.4616227,40.933487,152.97652,-291.5981,-1.4998801,1.0431502,2.0,-3.431138
16,3315.7507,3725.58,1197.7147,-1171.107,536.21783,-343.73657,-2877.1736,-1179.2312,545.3021,-367.76135,-2815.2188,19.092922,7.5314517,42.813118,9.524662,0.5686996,66.105865,338.71097,-485.7303,-1.2917589,1.0046799,2.0,-3.373919
