Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1686751371.0421474,0,18485.0,20209.0,21571.0,19735.0
1686751371.052448,20000.0,18758.0,20064.0,21324.0,19854.0
1686751371.0614407,20000.0,18681.0,20183.0,21327.0,19809.0
1686751371.0713403,20000.0,18560.0,20020.0,21332.0,20088.0
1686751371.0820756,20000.0,18384.0,20440.0,21466.0,19710.0
1686751371.092259,20000.0,18946.0,20206.0,21004.0,19844.0
1686751371.1018634,20000.0,18549.0,20603.0,20559.0,20289.0
1686751371.1106606,20000.0,18450.0,20516.0,21700.0,19334.0
1686751371.1210423,20000.0,18743.0,20661.0,21765.0,18831.0
1686751371.131627,20000.0,18719.0,20249.0,21281.0,19751.0
1686751371.1419635,20500.0,18738.0,20584.0,22364.0,20314.0
1686751371.1510596,20500.0,18967.0,22411.0,22051.0,18571.0
1686751371.1612384,20500.0,19764.0,20450.0,21350.0,20436.0
1686751371.1714623,20500.0,19293.0,20147.0,21641.0,20919.0
1686751371.182138,20500.0,19062.0,20222.0,21712.0,21004.0
1686751371.1916518,20500.0,18615.0,20683.0,22477.0,20225.0
1686751371.200768,20500.0,17999.0,21295.0,22849.0,19857.0
1686751371.2118416,20500.0,17925.0,20761.0,23077.0,20237.0
1686751371.2213743,20500.0,18148.0,21090.0,22598.0,20164.0
1686751371.2323408,20500.0,18785.0,20705.0,22445.0,20065.0
1686751371.2412202,20500.0,20211.0,20349.0,22607.0,20833.0
1686751371.2515063,21000.0,18016.0,21690.0,23524.0,20770.0
1686751371.2619781,21000.0,17901.0,21619.0,22841.0,21639.0
1686751371.270834,21000.0,18636.0,21282.0,23216.0,20866.0
1686751371.2812011,21000.0,19486.0,20498.0,23332.0,20684.0
1686751371.291175,21000.0,18294.0,21798.0,23296.0,20612.0
1686751371.3010907,21000.0,18704.0,20560.0,24140.0,20596.0
1686751371.3101404,21000.0,18398.0,21962.0,23484.0,20156.0
1686751371.3210127,21000.0,19339.0,20267.0,23689.0,20705.0
1686751371.331544,21000.0,19392.0,22234.0,23484.0,20890.0
1686751371.3418353,21500.0,19028.0,21468.0,23770.0,21734.0
1686751371.3520713,21500.0,19285.0,22223.0,23161.0,21331.0
1686751371.3618634,21500.0,18510.0,22056.0,24474.0,20960.0
1686751371.3721766,21500.0,18652.0,21150.0,24532.0,21666.0
1686751371.3824484,21500.0,18379.0,21933.0,24781.0,20907.0
1686751371.392213,21500.0,19090.0,22152.0,24036.0,20722.0
1686751371.4022431,21500.0,18699.0,21251.0,24313.0,21737.0
1686751371.4123485,21500.0,19119.0,21267.0,24115.0,21499.0
1686751371.4223893,21500.0,18632.0,21738.0,23796.0,21834.0
1686751371.43149,21500.0,19056.0,22034.0,23978.0,20932.0
1686751371.4416716,21500.0,19335.0,22583.0,23993.0,22089.0
1686751371.4513738,22000.0,19271.0,22165.0,24825.0,21739.0
1686751371.4616885,22000.0,18164.0,22766.0,25554.0,21516.0
1686751371.471967,22000.0,19551.0,22695.0,24289.0,21465.0
1686751371.4825191,22000.0,19872.0,21614.0,24686.0,21828.0
1686751371.4918287,22000.0,18630.0,22330.0,25276.0,21764.0
1686751371.5006037,22000.0,19348.0,22658.0,25324.0,20670.0
1686751371.511306,22000.0,19864.0,23130.0,24270.0,20736.0
1686751371.5206327,22000.0,20035.0,21897.0,23057.0,23011.0
1686751371.532588,22000.0,18570.0,22076.0,24812.0,22542.0
1686751371.54203,22000.0,18508.0,22966.0,26286.0,22240.0
1686751371.5519378,22500.0,19175.0,23557.0,25451.0,21817.0
1686751371.5633516,22500.0,18474.0,23394.0,26896.0,21236.0
1686751371.5714686,22500.0,20481.0,21949.0,24857.0,22713.0
1686751371.5830617,22500.0,18643.0,23589.0,26789.0,20979.0
1686751371.5914755,22500.0,20295.0,23841.0,24127.0,21737.0
1686751371.602455,22500.0,17907.0,23051.0,26061.0,22981.0
1686751371.6118608,22500.0,19363.0,22555.0,25903.0,22179.0
1686751371.6216621,22500.0,18753.0,22083.0,27895.0,21269.0
1686751371.6320038,22500.0,19828.0,22804.0,24380.0,22988.0
1686751371.6419928,22500.0,21105.0,23121.0,24161.0,23613.0
1686751371.650628,23000.0,20452.0,24080.0,26734.0,20734.0
1686751371.6602504,23000.0,19425.0,26293.0,25985.0,20297.0
1686751371.6711173,23000.0,20387.0,26381.0,23881.0,21351.0
1686751371.6819568,23000.0,19598.0,25910.0,26490.0,20002.0
1686751371.6908176,23000.0,17326.0,27548.0,29838.0,17288.0
