Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
0,6.462571e-06,6.3095667e-06,-2.9772131,0.26328692,0.0009092814,0.26510447,0.26099038,0.26383215,0.0025536178,0.27025095,0.25798553,-2.714086,0.22256552,-1.9956318,-3.2258215,0.0053321933,0.0044988045,0.015990127,-0.0042991927,-0.10126979,0.015001537,-0.06775431,-0.14716178
1,1.0093643e-05,8.0592e-06,-3.1657858,0.49734277,0.00066560466,0.49922782,0.49602547,0.49453557,0.001548418,0.49819314,0.4919888,-2.6689236,0.15191826,-2.2279115,-2.972174,0.00047146474,0.016826442,0.03920258,-0.053674586,-0.15211764,0.018155314,-0.12249349,-0.21694301
2,4.743047e-06,4.609318e-06,-3.4020429,0.70674175,0.00012998244,0.7067934,0.7061981,0.70593846,0.0020545702,0.709915,0.7016064,-2.6954966,0.23592174,-2.3565228,-3.531941,0.0075991093,0.007163751,0.019247051,7.4717915e-05,-0.1304798,0.008716955,-0.11528297,-0.14938046
3,5.964094e-06,8.324108e-06,-3.5863566,0.89658016,0.0,0.89658016,0.895483,0.89770424,0.002168038,0.90607613,0.89348304,-2.690557,0.2403322,-2.211399,-3.668624,-0.0013164887,0.0070036836,0.01666266,-0.014308969,-0.12651819,0.0047699716,-0.116455846,-0.14354903
4,4.4034223e-06,4.383662e-06,-3.7849631,1.0708905,1.1920929e-07,1.0708907,1.0709242,1.0712024,0.0020751562,1.0791916,1.066553,-2.7140727,0.279438,-2.2990432,-4.4535604,0.001187589,0.0042051612,0.0121037895,-0.0053146794,-0.13726735,0.0024193167,-0.13400903,-0.1422685
5,7.121261e-06,6.0050697e-06,-3.983111,1.2256259,0.0,1.2256259,1.2259208,1.2276657,0.0017206022,1.231629,1.2229698,-2.757485,0.18553168,-2.274696,-3.2057662,0.0020959007,0.0065227593,0.0111464765,-0.007284368,-0.13376041,0.0095711555,-0.11989612,-0.14679797
6,1.1630484e-05,1.0890632e-05,-4.1102543,1.3676091,1.1920929e-07,1.3676093,1.3677943,1.3697014,0.002693356,1.3820632,1.3648003,-2.7426453,0.21423219,-2.363404,-3.4539998,0.0007230169,0.006579481,0.011803063,-0.0049223397,-0.13625827,0.0031652302,-0.13240688,-0.1396222
7,6.1226915e-06,6.057683e-06,-4.2091393,1.498395,0.0,1.498395,1.4983432,1.4977409,0.0023863788,1.5043925,1.4932008,-2.710796,0.25884882,-2.3027878,-4.1186705,0.00034666772,0.0077115865,0.0099334065,-0.01078037,-0.1371232,0.0035306267,-0.13189253,-0.14185113
8,7.1788045e-06,8.947898e-06,-4.367147,1.612189,1.1920929e-07,1.6121889,1.611688,1.6137043,0.002209612,1.6230716,1.609307,-2.755459,0.25485054,-2.236235,-3.914614,-0.0011958571,0.0038477182,0.0050961827,-0.0051911115,-0.13448288,0.008775505,-0.12098663,-0.14518318
9,3.412219e-06,3.5303287e-06,-4.4424534,1.7187026,2.3841858e-07,1.7187028,1.7189413,1.7185745,0.0018427583,1.72283,1.7149146,-2.72375,0.25509822,-2.2031088,-3.8638005,0.0008160138,0.006656679,0.012031518,-0.0051043876,-0.13608542,0.007379796,-0.12790382,-0.14774224
