Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
0,1.1188071e-05,1.07264605e-05,-3.0657394,0.2699658,0.0007679782,0.2722703,0.2688808,0.2717105,0.002873284,0.28223935,0.26763812,-2.795894,0.29151896,-2.0750008,-3.9506555,0.010677074,0.014013925,0.034557775,-0.0128328465,-0.14667031,0.014909297,-0.11745811,-0.19476861
1,8.430645e-06,8.789203e-06,-3.264287,0.5057833,0.00023791431,0.50742847,0.505773,0.5038488,0.002165265,0.5104273,0.5000112,-2.7585378,0.22018874,-2.258086,-3.368051,0.0023812475,0.008211427,0.019034885,-0.009740366,-0.12615873,0.007675005,-0.11099836,-0.14141265
2,1.08517415e-05,1.2142168e-05,-3.4823217,0.7158771,0.000118531265,0.71680003,0.7161504,0.7147803,0.003205728,0.7365782,0.7103511,-2.7664523,0.21569446,-2.3799083,-3.6007042,-0.0062702866,0.007926515,0.004141596,-0.022558542,-0.14546946,0.009036533,-0.12638761,-0.18217884
3,3.8969874e-06,3.8898947e-06,-3.6046014,0.9063195,3.5335866e-06,0.9063475,0.9063134,0.90570766,0.0018769364,0.90997916,0.90189683,-2.698288,0.22007398,-2.2753105,-3.5775096,-0.0018919869,0.0041454,0.0042940956,-0.009672819,-0.12949567,0.011347742,-0.10945548,-0.15619518
4,1.0332013e-05,1.0389106e-05,-3.814085,1.0779201,1.1920929e-07,1.0779202,1.0779032,1.0795863,0.0027488535,1.0969952,1.0759724,-2.736182,0.18825741,-2.2212398,-3.3215375,-0.005183732,0.015324693,0.027141634,-0.039705046,-0.14094841,0.016990704,-0.111290954,-0.17757197
5,8.527604e-06,8.060248e-06,-3.9706917,1.2341337,0.0,1.2341337,1.2342691,1.235927,0.002304732,1.2437204,1.2311758,-2.736558,0.26676857,-2.278707,-3.8529491,-0.0055448385,0.0041819783,-0.00062689674,-0.010170943,-0.13568345,0.0052880547,-0.12950176,-0.14419357
6,1.6659946e-05,1.6216783e-05,-4.152066,1.3812476,1.1920929e-07,1.3812478,1.3811848,1.377696,0.0020110626,1.384277,1.3741711,-2.7708814,0.2837668,-2.2659836,-3.7775064,0.0057363645,0.0043544667,0.011436311,-0.00036125694,-0.1333697,0.0034748672,-0.12896046,-0.13849223
7,3.3493257e-06,3.2922935e-06,-4.2738905,1.5064632,0.0,1.5064632,1.5063503,1.5061541,0.0018038343,1.509838,1.5014563,-2.7675397,0.26355633,-2.2383757,-4.316424,-0.007300256,0.0040675704,-0.0020725003,-0.013152566,-0.13479652,0.004901929,-0.12844652,-0.14151964
8,1.0006762e-05,1.0252608e-05,-4.347271,1.6203477,2.3841858e-07,1.6203475,1.6202897,1.6224446,0.0023682397,1.6321055,1.616909,-2.7269816,0.17450264,-2.3064666,-3.1776705,-0.006165429,0.008816969,0.007470885,-0.014122957,-0.133087,0.008451077,-0.12066228,-0.14220896
9,3.6662725e-06,3.6559468e-06,-4.4927864,1.7269468,0.0,1.7269468,1.7270052,1.7270644,0.0019111369,1.7331547,1.7236627,-2.7658396,0.262478,-2.2547553,-4.2206364,-0.005325571,0.0031677836,-0.0015723436,-0.010261527,-0.13680333,0.005043348,-0.1292998,-0.14327928
10,7.5556063e-06,7.665903e-06,-4.550538,1.8218737,0.0,1.8218737,1.8217446,1.8222363,0.0027247237,1.8399479,1.8183354,-2.7287936,0.20078093,-2.4087286,-3.4984872,-0.0013969294,0.0024215984,0.0014584401,-0.0051590423,-0.13871372,0.007798531,-0.12927297,-0.15092666
11,1.1769783e-05,1.1891661e-05,-4.625183,1.9099015,1.1920929e-07,1.9099014,1.9099278,1.907612,0.0025550246,1.9221975,1.9028248,-2.715282,0.22141078,-2.3488526,-3.5050478,-0.002837726,0.0028251554,0.0004073148,-0.0060932795,-0.13880655,0.0058943923,-0.13012563,-0.14466685
12,5.318234e-06,5.3486947e-06,-4.7232776,1.9842292,0.0,1.9842292,1.9842157,1.9853531,0.002013728,1.9942298,1.9814428,-2.739062,0.21430542,-2.2370172,-3.5721834,0.0028376603,0.0071343696,0.010154287,-0.0064564096,-0.12912077,0.004342119,-0.12625054,-0.13662758
13,5.934974e-06,5.79751e-06,-4.8139386,2.0563698,0.0,2.0563698,2.0563111,2.0551686,0.002119453,2.0634537,2.0511038,-2.7576277,0.29798272,-2.3279881,-4.306016,0.0009269612,0.004482454,0.00734906,-0.004977409,-0.13095973,0.004094663,-0.12458893,-0.13562094
14,3.561991e-06,3.563433e-06,-4.857704,2.1191633,0.0,2.1191633,2.1191647,2.11866,0.0018189587,2.121998,2.1153955,-2.7385406,0.21361609,-2.3755941,-3.5095506,0.0032203,0.0066616344,0.008736239,-0.008165813,-0.12583703,0.008838499,-0.112980284,-0.1372532
15,3.5173284e-06,3.506371e-06,-4.905076,2.1756651,2.3841858e-07,2.1756654,2.1756163,2.1755292,0.0018705089,2.182619,2.1720173,-2.7294595,0.25346613,-2.2570019,-3.7038546,-0.0020814312,0.005863194,0.007988626,-0.0062937466,-0.1366441,0.0046193013,-0.13335866,-0.14455642
16,1.0147669e-05,1.0125814e-05,-4.944215,2.2288716,0.0,2.2288716,2.2288566,2.2281365,0.003099576,2.242279,2.2241561,-2.7153583,0.21348517,-2.2722476,-3.5961585,-0.004839513,0.005752707,-0.00031507132,-0.014715295,-0.1364126,0.0036983483,-0.13269265,-0.1422569
17,5.140767e-06,5.250417e-06,-4.9904137,2.2754118,2.3841858e-07,2.275412,2.275461,2.2743149,0.0019841248,2.2798233,2.2701802,-2.715001,0.16980721,-2.4243689,-3.139151,-0.0013920118,0.003394518,0.0032691376,-0.0059312596,-0.13557076,0.0029105637,-0.1308302,-0.13826922
18,3.7587215e-06,3.763511e-06,-5.106452,2.3159654,0.0,2.3159654,2.3159626,2.316801,0.0017494404,2.320889,2.3121383,-2.7904892,0.3395522,-2.2783074,-4.77492,-0.0017942392,0.0035464158,0.0023528943,-0.006120137,-0.13367932,0.0062818564,-0.12346679,-0.13980278
19,4.605871e-06,5.576552e-06,-5.101853,2.3561993,0.0,2.3561993,2.3565226,2.3548596,0.0016767213,2.3603115,2.3520253,-2.7456536,0.29167974,-2.2059522,-3.8513093,-0.003122237,0.009214342,0.0051686163,-0.018398177,-0.13539194,0.005320312,-0.12805733,-0.1430462
20,4.9022583e-06,4.889885e-06,-5.141265,2.3911917,0.0,2.3911917,2.391187,2.3898919,0.00179241,2.3941395,2.385589,-2.7500782,0.19643505,-2.2645783,-3.2867727,-0.004417425,0.0018769585,-0.0016625638,-0.006200397,-0.13575138,0.005108873,-0.12868518,-0.1417143
21,2.9547411e-06,3.021974e-06,-5.2123775,2.419926,2.3841858e-07,2.4199262,2.4198613,2.420412,0.001648816,2.424133,2.4170773,-2.7925162,0.37095323,-2.2779155,-4.979901,0.0019219762,0.009392297,0.014188956,-0.011369061,-0.14137936,0.0052630138,-0.13407579,-0.14889126
22,6.798674e-06,6.8474465e-06,-5.159346,2.4496334,0.0,2.4496334,2.4497046,2.449327,0.0025893564,2.4586637,2.4450753,-2.7097125,0.18056712,-2.2755535,-3.0650573,0.008070422,0.008061475,0.019394288,-0.0019505806,-0.14027563,0.0050567407,-0.13492613,-0.14800972
23,1.28796555e-05,1.364509e-05,-5.2264104,2.472475,0.0,2.472475,2.472297,2.474535,0.0029388159,2.4910448,2.4707162,-2.7541137,0.21195975,-2.2909155,-3.4128218,0.0010623985,0.0075785955,0.012162805,-0.008946674,-0.13251376,0.00663845,-0.12403987,-0.1415889
24,4.520384e-06,4.3176115e-06,-5.253712,2.497116,0.0,2.497116,2.497264,2.4978757,0.0019857243,2.5044038,2.492451,-2.756596,0.18690684,-2.403022,-3.4030302,-0.0016651644,0.003531081,0.00278953,-0.0054622893,-0.12972963,0.0030413922,-0.12486064,-0.13266587
25,1.0083326e-05,1.0294456e-05,-5.2422996,2.520736,0.0,2.520736,2.5207806,2.5183907,0.0021405846,2.5249536,2.513879,-2.7215636,0.17241758,-2.2677584,-3.2356472,-0.0022148765,0.002361605,0.0013741928,-0.0051804045,-0.13506763,0.0072652395,-0.123975314,-0.14257759
26,1.15562525e-05,1.2195187e-05,-5.269898,2.535083,0.0,2.535083,2.5349565,2.5375433,0.00234606,2.548845,2.5319912,-2.7349415,0.33505067,-2.3470836,-4.8991466,0.003327654,0.013092724,0.019394178,-0.016376017,-0.13681589,0.005428438,-0.13163176,-0.1448024
27,7.797001e-06,7.673601e-06,-5.286034,2.5551414,0.0,2.5551414,2.5550435,2.554463,0.0027085862,2.564468,2.5504465,-2.7309906,0.22351731,-2.3394294,-3.7966006,0.00044386717,0.006706699,0.0073945364,-0.010544311,-0.13649844,0.00933407,-0.121337555,-0.14530532
28,7.2583434e-06,7.58569e-06,-5.333424,2.571245,2.3841858e-07,2.5712447,2.5713356,2.5694883,0.0020428845,2.5764818,2.5646658,-2.7621794,0.23026185,-2.3512635,-3.5974245,0.0063624736,0.004960989,0.0121687995,0.00033753976,-0.1319589,0.007030183,-0.12231392,-0.14179663
29,3.7413952e-06,3.7737873e-06,-5.3450074,2.5839117,2.3841858e-07,2.5839114,2.5839849,2.5837276,0.0019255124,2.5913463,2.5789897,-2.761096,0.18208857,-2.3143249,-3.336283,-0.0033875275,0.00521508,0.0009309357,-0.012302628,-0.13146716,0.007780686,-0.1234817,-0.1415198
30,1.9196705e-05,1.9642095e-05,-5.34714,2.5930433,0.0,2.5930433,2.5929878,2.5970244,0.0018297713,2.6030304,2.5936046,-2.754152,0.28755012,-2.3288817,-4.6314216,0.0024671154,0.0049405736,0.0073551433,-0.004432484,-0.13693954,0.0020187919,-0.13402249,-0.13972549
31,1.6091552e-05,1.657674e-05,-5.3450384,2.6110163,0.0,2.6110163,2.611089,2.6077166,0.0022810632,2.6138585,2.6026237,-2.7340221,0.18435986,-2.2893174,-3.1761296,-7.810813e-05,0.0011849472,0.0017408156,-0.0015570285,-0.12902397,0.0041216146,-0.12441551,-0.13468567
32,4.8050333e-06,4.6759205e-06,-5.3477225,2.6190603,2.3841858e-07,2.61906,2.6189945,2.6180425,0.0019416333,2.626838,2.6133232,-2.7287278,0.18370825,-2.3737433,-3.48309,0.0012973209,0.00769186,0.013648928,-0.005211395,-0.13132647,0.001854661,-0.12971237,-0.13430622
33,7.698577e-06,8.662388e-06,-5.3905373,2.6298673,2.3841858e-07,2.629867,2.6300669,2.627555,0.0015338665,2.632282,2.6238544,-2.76067,0.20106202,-2.3330889,-3.4957275,-0.0011166965,0.004433063,0.0057789865,-0.006571219,-0.13876581,0.008372034,-0.12782985,-0.1499463
34,1.0710641e-05,1.0403457e-05,-5.3692026,2.6334372,0.0,2.6334372,2.6334975,2.6360135,0.0020180529,2.6420171,2.6314957,-2.7357657,0.1730056,-2.3383698,-3.241653,-0.002472159,0.0045320564,0.0027837579,-0.008921039,-0.13495341,0.0027449543,-0.13050757,-0.13782933
35,5.079757e-06,5.0823255e-06,-5.357835,2.6427944,0.0,2.6427944,2.6427925,2.6434667,0.0021512394,2.6509678,2.6399426,-2.7150426,0.23441029,-2.2694116,-3.6654105,-0.00023533124,0.008863705,0.009952449,-0.014151644,-0.13597025,0.0053478745,-0.13051397,-0.14465679
36,6.340504e-06,4.314501e-06,-5.3904085,2.6489904,2.3841858e-07,2.6489902,2.6498952,2.6505618,0.0019672092,2.657587,2.6463425,-2.7414184,0.20338808,-2.359115,-3.6010766,0.0022995786,0.0025804525,0.004507993,-0.0020946807,-0.13357392,0.0067318636,-0.1258268,-0.14120919
37,4.218123e-05,4.2242245e-05,-5.3659735,2.6513808,2.3841858e-07,2.651381,2.6513758,2.657195,0.0028946293,2.6751606,2.6525073,-2.714598,0.15680307,-2.4300325,-3.091342,0.0044356994,0.0082182875,0.015187968,-0.007721771,-0.1372127,0.0040340163,-0.13090268,-0.14203504
38,7.665928e-06,6.3443495e-06,-5.4260087,2.6642485,0.0,2.6642485,2.6639206,2.6620688,0.0017074352,2.6655965,2.6577287,-2.7620883,0.3809637,-2.210251,-5.1810694,0.0020225053,0.008113314,0.015254707,-0.0053256336,-0.13558081,0.004444168,-0.12841146,-0.14046781
39,1.6446844e-05,1.628105e-05,-5.3723397,2.663766,0.0,2.663766,2.663791,2.66709,0.0023234563,2.6776927,2.6641004,-2.7085743,0.24159667,-2.282849,-3.979538,-8.26919e-05,0.009162318,0.012172913,-0.012976469,-0.1373094,0.00606357,-0.12728786,-0.14232714
40,7.162649e-06,6.9548987e-06,-5.40951,2.6708791,0.0,2.6708791,2.670961,2.6721902,0.002333162,2.6786633,2.6662755,-2.7386308,0.2522919,-2.3549304,-3.9211712,-0.0005298075,0.0027454684,0.0025632367,-0.004928321,-0.13099453,0.002012292,-0.12787944,-0.1328402
41,6.8103573e-06,6.8400536e-06,-5.395852,2.6765935,0.0,2.6765935,2.6766117,2.6757832,0.0024806545,2.683167,2.67166,-2.719265,0.20049623,-2.2421527,-3.5506403,0.005707515,0.0076476494,0.016729359,-0.004077846,-0.13592961,0.0048049046,-0.12842424,-0.14134438
42,6.341591e-06,6.1513965e-06,-5.443084,2.681549,0.0,2.681549,2.681497,2.6796937,0.0017023935,2.6829448,2.675019,-2.7615862,0.22829726,-2.2770784,-3.7739809,-0.00092007243,0.014600532,0.012421385,-0.024826026,-0.13517746,0.0077777286,-0.12429724,-0.14498144
