Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
0,9.4096995e-06,8.740863e-06,-3.0243514,0.273471,0.0009445439,0.2753643,0.27001855,0.27441007,0.0028450228,0.28469837,0.26963907,-2.7509766,0.23093426,-2.250688,-3.5946782,0.0014960414,0.022524716,0.03692181,-0.038836874,-0.120532386,0.009699467,-0.09581779,-0.14757447
1,3.4181771e-06,3.3661004e-06,-3.2373555,0.5135075,3.5294604e-05,0.5136252,0.51327354,0.51364094,0.0018431558,0.5201356,0.5094896,-2.7238872,0.20150468,-2.166522,-3.4121628,-0.0028881924,0.010901081,0.01730818,-0.030468568,-0.129065,0.009259433,-0.11056597,-0.1740723
2,1.0505428e-05,1.057961e-05,-3.4764185,0.7342664,5.9604645e-08,0.73426646,0.73428124,0.7317647,0.002060654,0.73512185,0.726704,-2.7421517,0.23682798,-2.1719823,-3.3714743,-0.0057895724,0.008305297,0.028234182,-0.025219493,-0.12852573,0.007645986,-0.1119835,-0.15238382
3,7.389197e-06,7.360665e-06,-3.6235824,0.9277859,0.0,0.9277859,0.9277981,0.9289595,0.002451906,0.93827933,0.92462194,-2.6957965,0.18202706,-2.3154578,-3.144834,-0.0007335081,0.0036858413,0.005926763,-0.0070803952,-0.13359052,0.007637829,-0.1207423,-0.15058655
4,1.2704602e-05,1.2982365e-05,-3.8441234,1.1047176,0.0,1.1047176,1.1046647,1.1073756,0.002374694,1.1143762,1.102739,-2.739458,0.25142094,-2.1783807,-3.8600633,0.004214773,0.0031218503,0.014579762,-0.0006930452,-0.1334434,0.009742469,-0.11682307,-0.1494549
5,6.7553337e-06,6.714781e-06,-4.0066967,1.2698407,0.0,1.2698407,1.2698258,1.2684726,0.0022098592,1.277661,1.2644109,-2.7368712,0.25391,-2.3367987,-3.773695,0.0021250336,0.0041135824,0.017191954,-0.0047262097,-0.13397041,0.0064446046,-0.121613726,-0.15536788
6,5.103496e-06,4.8109887e-06,-4.148675,1.4144742,1.1920929e-07,1.4144741,1.41431,1.4135011,0.0020387939,1.4179726,1.4094969,-2.7343655,0.20474131,-2.3714743,-3.257773,-0.0031415913,0.004446025,0.0037007781,-0.007379584,-0.13009977,0.0072815167,-0.12272444,-0.14219403
7,3.1112613e-06,3.5797584e-06,-4.265286,1.5450985,1.1920929e-07,1.5450987,1.5448121,1.5457728,0.0016299823,1.5510012,1.5424454,-2.7204738,0.21181996,-2.345635,-3.4897082,0.0068217004,0.0038000124,0.011664189,0.0022683833,-0.13727254,0.0056376206,-0.12871358,-0.14262475
8,1.0454636e-05,1.0442525e-05,-4.406152,1.6675204,0.0,1.6675204,1.6675179,1.6651002,0.002144103,1.6716666,1.6618845,-2.738634,0.22356068,-2.2685437,-3.4342406,7.126853e-05,0.011775404,0.02004542,-0.009739009,-0.12968759,0.0057505947,-0.11997854,-0.13481846
9,9.125278e-06,8.111581e-06,-4.5199804,1.771757,0.0,1.771757,1.7720329,1.7737324,0.0022854668,1.7855549,1.7699074,-2.7482233,0.18156624,-2.3246624,-3.1443348,0.00011627469,0.010024305,0.008265693,-0.017054385,-0.13081405,0.0044135586,-0.12711571,-0.13813223
10,1.7224465e-05,1.7202976e-05,-4.6029425,1.8719271,1.1920929e-07,1.871927,1.8718513,1.8717473,0.0041463403,1.895685,1.8673991,-2.731091,0.22730714,-2.2925372,-3.897818,-0.0013522342,0.0038989254,0.003747667,-0.0071859523,-0.13529755,0.006955593,-0.12951264,-0.14688857
11,4.678433e-06,4.6906152e-06,-4.742692,1.9586517,0.0,1.9586517,1.9586457,1.9596705,0.0019079475,1.9643083,1.9552816,-2.7840466,0.24869601,-2.376668,-4.0624313,-0.0048965216,0.00391008,0.0004327594,-0.00991151,-0.13328494,0.0047166976,-0.12598006,-0.13876379
12,7.992365e-06,7.982818e-06,-4.7687683,2.037996,0.0,2.037996,2.0379987,2.0398173,0.0021621669,2.0480037,2.0357978,-2.7307725,0.17823051,-2.42232,-3.2014246,-0.0059775184,0.00862652,0.000496157,-0.020779386,-0.14064787,0.0051054414,-0.13320683,-0.14687024
13,1.589931e-05,1.5872476e-05,-4.861496,2.1134071,0.0,2.1134071,2.1133983,2.1118817,0.0036840772,2.130547,2.1065202,-2.7480974,0.20508495,-2.3307772,-3.4515767,-0.00303755,0.0032659054,0.0012682844,-0.007838532,-0.13509631,0.0037353917,-0.1293229,-0.13851772
14,1.0723226e-05,1.0768757e-05,-4.9098845,2.1740263,2.3841858e-07,2.174026,2.1740172,2.1766024,0.002021406,2.1825452,2.1721063,-2.7358668,0.19397211,-2.271758,-3.0876346,0.002898646,0.0063003926,0.009688867,-0.0071346615,-0.13215163,0.0042307475,-0.12928005,-0.13943131
15,1.7729722e-05,1.7747696e-05,-4.9573126,2.2388964,0.0,2.2388964,2.238899,2.2354712,0.002449011,2.2455711,2.2296743,-2.7184162,0.2419196,-2.1401916,-3.4089785,-0.0052197245,0.004034948,-0.00055921235,-0.010984369,-0.13605137,0.003657887,-0.13152093,-0.14070378
16,3.7532825e-06,3.7631517e-06,-5.0398645,2.2880497,0.0,2.2880497,2.2880435,2.2888427,0.0017676239,2.2929773,2.284904,-2.7518213,0.27839252,-2.3148918,-4.388189,-0.0009893893,0.008166349,0.011765049,-0.010333191,-0.14032,0.0042634653,-0.13432942,-0.14580926
17,5.033584e-06,5.0447015e-06,-5.11936,2.3379362,2.3841858e-07,2.337936,2.3379476,2.337466,0.0021937876,2.3462884,2.3337255,-2.7814238,0.17415647,-2.361261,-3.3138213,-0.0045525413,0.017060012,0.019966163,-0.02777919,-0.1311309,0.0019749093,-0.12816808,-0.1334406
18,8.216848e-06,8.25222e-06,-5.1652536,2.3832972,2.3841858e-07,2.3832974,2.383305,2.3809834,0.0016913589,2.385649,2.3775384,-2.7819564,0.48001972,-2.1240175,-6.235812,-0.0060238084,0.0071711843,0.0007874098,-0.017632117,-0.13354221,0.0030027004,-0.13052343,-0.13756812
19,9.194084e-06,9.197551e-06,-5.199712,2.4180229,0.0,2.4180229,2.4180222,2.420447,0.0018214018,2.4254787,2.4159727,-2.7816896,0.20568246,-2.3706126,-3.4493458,-0.0063418304,0.004074599,-0.00071581965,-0.011883086,-0.13550559,0.0025941085,-0.13223957,-0.13950135
20,1.12800735e-05,1.1241022e-05,-5.2356014,2.4583776,0.0,2.4583776,2.4583688,2.4561596,0.0025221729,2.4661164,2.451211,-2.777233,0.27807406,-2.3564014,-4.126242,0.00067612,0.0051990473,0.007995394,-0.005046283,-0.13671592,0.00092948775,-0.13588485,-0.13822438
21,3.5195873e-05,3.5256056e-05,-5.2824354,2.4821014,0.0,2.4821014,2.482096,2.487586,0.002261908,2.4953504,2.4833207,-2.8003392,0.27460876,-2.37963,-3.7818284,-0.0026182025,0.0058160448,0.0061173704,-0.009980814,-0.13926794,0.008162626,-0.12823547,-0.1480728
22,6.622967e-06,6.5933127e-06,-5.2278576,2.5152137,0.0,2.5152137,2.515222,2.5169947,0.0018576832,2.5223913,2.5116813,-2.7126436,0.18146603,-2.364072,-3.213656,0.0020659582,0.011469475,0.018883655,-0.010416258,-0.14135054,0.0075257556,-0.13283375,-0.15306817
23,4.262793e-06,4.269567e-06,-5.247679,2.5435197,0.0,2.5435197,2.5435264,2.5430157,0.0020021852,2.547915,2.5387287,-2.7041593,0.22455719,-2.297391,-3.7571027,-0.006613763,0.007658079,0.0010038593,-0.018579008,-0.13045561,0.009555169,-0.11864104,-0.14293152
24,2.5571986e-05,2.5624424e-05,-5.2950315,2.5618498,0.0,2.5618498,2.5618443,2.5666285,0.0016543638,2.5710647,2.563043,-2.7331872,0.25667122,-2.1849027,-3.87885,0.0022623562,0.0073081558,0.014500247,-0.004652317,-0.13104999,0.000987877,-0.1297179,-0.13218004
25,3.988797e-06,3.9844945e-06,-5.3281803,2.5886056,2.3841858e-07,2.5886054,2.5885968,2.5883505,0.0019808623,2.594515,2.583306,-2.739584,0.18796341,-2.2235172,-3.429657,-0.004803215,0.004624543,0.0009308413,-0.0116280615,-0.12977019,0.007771769,-0.11789217,-0.13919087
26,1.7083286e-05,1.7025577e-05,-5.317809,2.606557,0.0,2.606557,2.6065729,2.6083713,0.0037137,2.6332858,2.6031175,-2.7112517,0.15721245,-2.212378,-3.0308044,0.0007595413,0.009567693,0.017323002,-0.0050319717,-0.13132246,0.007888089,-0.118636444,-0.13909006
27,5.5028377e-06,5.50211e-06,-5.3626165,2.625987,0.0,2.625987,2.6259902,2.6261058,0.0023428008,2.6372547,2.6214893,-2.7366297,0.24344727,-2.1846275,-3.6331272,-0.0025930288,0.0052598463,0.0043605347,-0.010214542,-0.1363134,0.0045722835,-0.13145858,-0.14319195
28,4.5454226e-06,4.5507613e-06,-5.4200387,2.642544,0.0,2.642544,2.6425462,2.641301,0.0017321164,2.6451461,2.6362762,-2.7774947,0.23912854,-2.3501985,-3.4846854,-0.001197753,0.009086639,0.013550029,-0.011287044,-0.13146177,0.0063473866,-0.12212058,-0.13971348
29,2.7130545e-06,2.7136477e-06,-5.379736,2.6563323,0.0,2.6563323,2.656333,2.6559181,0.0015941693,2.6589851,2.651751,-2.723404,0.20445172,-2.2649693,-3.2795405,0.00047287077,0.008900434,0.010534706,-0.0133906035,-0.13367616,0.004811194,-0.12557386,-0.13794535
30,2.542177e-05,2.5401863e-05,-5.4519463,2.6735291,2.3841858e-07,2.6735294,2.6735272,2.6688893,0.0019726441,2.673788,2.6652296,-2.7784195,0.2557504,-2.4110157,-4.0317435,0.00035511074,0.004973869,0.008113961,-0.005277077,-0.13120186,0.008144079,-0.124068335,-0.14400543
