Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1686751469.13635,0,0.0,0.0,0.0,0.0
1686751469.1465857,0.0,0.0,0.0,0.0,0.0
1686751469.1567185,0.0,0.0,0.0,0.0,0.0
1686751469.166321,0.0,0.0,0.0,0.0,0.0
1686751469.1758895,0.0,0.0,0.0,0.0,0.0
1686751469.185856,0.0,0.0,0.0,0.0,0.0
1686751469.1964982,0.0,0.0,0.0,0.0,0.0
1686751469.2059174,0.0,0.0,0.0,0.0,0.0
1686751469.2159333,0.0,0.0,0.0,0.0,0.0
1686751469.2270603,0.0,0.0,0.0,0.0,0.0
1686751469.2383275,0.0,0.0,0.0,0.0,0.0
1686751469.245817,0.0,0.0,0.0,0.0,0.0
1686751469.2570772,0.0,0.0,0.0,0.0,0.0
1686751469.2666543,0.0,0.0,0.0,0.0,0.0
1686751469.276085,0.0,0.0,0.0,0.0,0.0
1686751469.286372,0.0,0.0,0.0,0.0,0.0
1686751469.2957828,0.0,0.0,0.0,0.0,0.0
1686751469.3060205,0.0,0.0,0.0,0.0,0.0
1686751469.3156135,0.0,0.0,0.0,0.0,0.0
1686751469.3257225,0.0,0.0,0.0,0.0,0.0
1686751469.3354993,0.0,0.0,0.0,0.0,0.0
1686751469.3449006,0.0,0.0,0.0,0.0,0.0
1686751469.3556547,0.0,0.0,0.0,0.0,0.0
1686751469.3653805,0.0,0.0,0.0,0.0,0.0
1686751469.375911,0.0,0.0,0.0,0.0,0.0
1686751469.3860383,0.0,0.0,0.0,0.0,0.0
1686751469.3967798,0.0,0.0,0.0,0.0,0.0
1686751469.408407,0.0,0.0,0.0,0.0,0.0
1686751469.4161727,0.0,0.0,0.0,0.0,0.0
1686751469.4263678,0.0,9710.0,17882.0,23758.0,15662.0
1686751469.4376225,16753.0,15501.0,17089.0,18077.0,16345.0
1686751469.4464953,16753.0,15472.0,16854.0,18012.0,16674.0
1686751469.4568093,16753.0,15463.0,16625.0,18043.0,16881.0
1686751469.4656744,16753.0,15616.0,17150.0,17746.0,16500.0
1686751469.4760969,16753.0,15745.0,16641.0,18259.0,16367.0
1686751469.4866376,16753.0,14971.0,16493.0,18819.0,16729.0
1686751469.4972243,16753.0,14413.0,17979.0,17483.0,17137.0
1686751469.5072968,16753.0,14852.0,17068.0,18550.0,16542.0
1686751469.5155222,16753.0,16145.0,16465.0,18669.0,15733.0
1686751469.526356,16753.0,24223.0,27433.0,29247.0,26313.0
1686751469.535585,26804.0,24359.0,26923.0,28657.0,27277.0
1686751469.5461047,26804.0,25669.0,27187.0,28157.0,26203.0
1686751469.5560749,26804.0,26614.0,27532.0,27064.0,26006.0
1686751469.5656834,26804.0,26604.0,28138.0,26692.0,25782.0
1686751469.576276,26804.0,24978.0,26824.0,28934.0,26480.0
1686751469.5867069,26804.0,23141.0,27265.0,30175.0,26635.0
1686751469.597003,26804.0,23193.0,27245.0,31337.0,25441.0
1686751469.6075172,26804.0,24807.0,27587.0,28551.0,26271.0
1686751469.6154716,26804.0,24379.0,27785.0,28445.0,26607.0
1686751469.62575,26804.0,26188.0,27610.0,28746.0,27356.0
1686751469.6358738,27475.0,25344.0,28082.0,29676.0,26798.0
1686751469.6462002,27475.0,26219.0,27941.0,28735.0,27005.0
1686751469.6561685,27475.0,25223.0,27911.0,29957.0,26809.0
1686751469.6660764,27475.0,26720.0,27174.0,28598.0,27408.0
1686751469.6761634,27475.0,26670.0,27796.0,29144.0,26290.0
1686751469.6868732,27475.0,24957.0,28293.0,30203.0,26447.0
1686751469.6956947,27475.0,26017.0,28063.0,29445.0,26375.0
1686751469.705909,27475.0,27316.0,28206.0,28324.0,26054.0
1686751469.716736,27475.0,26884.0,26844.0,29818.0,26354.0
1686751469.726267,27475.0,26547.0,27493.0,30433.0,25427.0
1686751469.7350435,27475.0,27906.0,25532.0,31096.0,25366.0
1686751469.745425,27475.0,25893.0,24383.0,31569.0,28055.0
1686751469.755163,27475.0,29632.0,26210.0,29966.0,24092.0
1686751469.766989,27475.0,26161.0,26077.0,32029.0,25633.0
1686751469.7757237,27475.0,29120.0,24898.0,30730.0,25152.0
1686751469.7856784,27475.0,28347.0,27345.0,30935.0,23273.0
1686751469.7961988,27475.0,28468.0,22910.0,34314.0,24208.0
1686751469.8070126,27475.0,29640.0,24064.0,31032.0,25164.0
1686751469.8151813,27475.0,32701.0,21505.0,31367.0,24327.0
1686751469.8250852,27475.0,29502.0,23980.0,31878.0,24540.0
1686751469.8353245,27475.0,32593.0,21251.0,31449.0,24607.0
1686751469.8461738,27475.0,30823.0,25179.0,30651.0,23247.0
1686751469.8564222,27475.0,33858.0,25402.0,30706.0,19934.0
1686751469.866067,27475.0,31179.0,28267.0,30965.0,19489.0
1686751469.8775675,27475.0,34781.0,26139.0,30295.0,18685.0
1686751469.887702,27475.0,34199.0,26191.0,28209.0,21301.0
1686751469.8967175,27475.0,32856.0,23942.0,32318.0,20784.0
1686751469.906986,27475.0,30175.0,24043.0,32601.0,23081.0
1686751469.9155045,27475.0,32046.0,20484.0,33146.0,24224.0
1686751469.9253957,27475.0,32287.0,20383.0,30647.0,26583.0
1686751469.9359138,27475.0,32143.0,19185.0,32803.0,25769.0
1686751469.9477522,27475.0,31285.0,21747.0,31335.0,25533.0
1686751469.9556296,27475.0,33018.0,21130.0,31542.0,24210.0
1686751469.9661288,27475.0,31257.0,24323.0,31779.0,22541.0
1686751469.9771252,27475.0,29925.0,24249.0,35441.0,20285.0
1686751469.9853752,27475.0,30954.0,25770.0,32218.0,20958.0
1686751469.996303,27475.0,32339.0,23981.0,32645.0,20935.0
1686751470.0062041,27475.0,31233.0,23509.0,32287.0,22871.0
1686751470.0162325,27475.0,29252.0,23470.0,35634.0,21544.0
1686751470.025972,27475.0,28480.0,24192.0,34802.0,22426.0
