Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1687763189.8273356,0.0,0.0,0.0,0.0,0.0
1687763189.836375,0.0,0.0,0.0,0.0,0.0
1687763189.847988,0.0,0.0,0.0,0.0,0.0
1687763189.8577049,0.0,0.0,0.0,0.0,0.0
1687763189.867672,0.0,0.0,0.0,0.0,0.0
1687763189.8770893,0.0,0.0,0.0,0.0,0.0
1687763189.8878028,0.0,0.0,0.0,0.0,0.0
1687763189.8969436,0.0,0.0,0.0,0.0,0.0
1687763189.9068809,0.0,0.0,0.0,0.0,0.0
1687763189.916741,0.0,0.0,0.0,0.0,0.0
1687763189.92877,0.0,0.0,0.0,0.0,0.0
1687763189.937626,0.0,0.0,0.0,0.0,0.0
1687763189.9476519,0.0,0.0,0.0,0.0,0.0
1687763189.9569576,0.0,0.0,0.0,0.0,0.0
1687763189.9667327,0.0,0.0,0.0,0.0,0.0
1687763189.9776466,0.0,0.0,0.0,0.0,0.0
1687763189.9892535,0.0,0.0,0.0,0.0,0.0
1687763189.99732,0.0,0.0,0.0,0.0,0.0
1687763190.0069585,0.0,0.0,0.0,0.0,0.0
1687763190.0190766,0.0,0.0,0.0,0.0,0.0
1687763190.0273714,0.0,0.0,0.0,0.0,0.0
1687763190.0388162,0.0,0.0,0.0,0.0,0.0
1687763190.0475566,0.0,0.0,0.0,0.0,0.0
1687763190.060121,0.0,0.0,0.0,0.0,0.0
1687763190.067956,0.0,0.0,0.0,0.0,0.0
1687763190.0789685,0.0,0.0,0.0,0.0,0.0
1687763190.0884528,0.0,0.0,0.0,0.0,0.0
1687763190.097474,0.0,0.0,0.0,0.0,0.0
1687763190.1081254,0.0,0.0,0.0,0.0,0.0
1687763190.1172817,0.0,0.0,0.0,0.0,0.0
1687763190.129506,0.0,0.0,0.0,0.0,0.0
1687763190.1382287,0.0,0.0,0.0,0.0,0.0
1687763190.1475413,0.0,0.0,0.0,0.0,0.0
1687763190.1587527,0.0,0.0,0.0,0.0,0.0
1687763190.1674848,0.0,0.0,0.0,0.0,0.0
1687763190.1777146,0.0,0.0,0.0,0.0,0.0
1687763190.1880784,0.0,0.0,0.0,0.0,0.0
1687763190.196808,0.0,0.0,0.0,0.0,0.0
1687763190.207525,0.0,0.0,0.0,0.0,0.0
1687763190.2172108,0.0,0.0,0.0,0.0,0.0
1687763190.226654,0.0,0.0,0.0,0.0,0.0
1687763190.2374868,0.0,0.0,0.0,0.0,0.0
1687763190.2474422,0.0,0.0,0.0,0.0,0.0
1687763190.259214,0.0,0.0,0.0,0.0,0.0
1687763190.2675347,0.0,0.0,0.0,0.0,0.0
1687763190.2789383,0.0,0.0,0.0,0.0,0.0
1687763190.2877402,0.0,0.0,0.0,0.0,0.0
1687763190.2992554,0.0,0.0,0.0,0.0,0.0
1687763190.3078623,0.0,0.0,0.0,0.0,0.0
1687763190.3190384,0.0,0.0,0.0,0.0,0.0
1687763190.327126,0.0,0.0,0.0,0.0,0.0
1687763190.3380203,0.0,0.0,0.0,0.0,0.0
1687763190.3472073,0.0,0.0,0.0,0.0,0.0
1687763190.357825,0.0,0.0,0.0,0.0,0.0
1687763190.368036,0.0,0.0,0.0,0.0,0.0
1687763190.3777592,0.0,0.0,0.0,0.0,0.0
1687763190.3867345,0.0,0.0,0.0,0.0,0.0
1687763190.4001389,0.0,0.0,0.0,0.0,0.0
1687763190.4072514,0.0,0.0,0.0,0.0,0.0
1687763190.4184065,0.0,0.0,0.0,0.0,0.0
1687763190.426422,0.0,0.0,0.0,0.0,0.0
1687763190.438103,0.0,0.0,0.0,0.0,0.0
1687763190.4470127,0.0,0.0,0.0,0.0,0.0
1687763190.458995,0.0,0.0,0.0,0.0,0.0
1687763190.4676208,0.0,0.0,0.0,0.0,0.0
1687763190.4768991,0.0,0.0,0.0,0.0,0.0
1687763190.4868355,0.0,0.0,0.0,0.0,0.0
1687763190.497296,0.0,0.0,0.0,0.0,0.0
1687763190.5091858,0.0,0.0,0.0,0.0,0.0
1687763190.5168002,0.0,0.0,0.0,0.0,0.0
1687763190.5280263,0.0,0.0,0.0,0.0,0.0
1687763190.537385,0.0,0.0,0.0,0.0,0.0
1687763190.5472057,0.0,0.0,0.0,0.0,0.0
1687763190.5572157,0.0,0.0,0.0,0.0,0.0
1687763190.568236,0.0,0.0,0.0,0.0,0.0
1687763190.5788069,0.0,0.0,0.0,0.0,0.0
1687763190.5869336,0.0,0.0,0.0,0.0,0.0
1687763190.597189,0.0,0.0,0.0,0.0,0.0
1687763190.6069255,0.0,0.0,0.0,0.0,0.0
1687763190.61688,0.0,0.0,0.0,0.0,0.0
1687763190.6294196,0.0,0.0,0.0,0.0,0.0
1687763190.6372323,0.0,0.0,0.0,0.0,0.0
1687763190.6482227,0.0,0.0,0.0,0.0,0.0
1687763190.6567488,0.0,0.0,0.0,0.0,0.0
1687763190.6682732,0.0,0.0,0.0,0.0,0.0
1687763190.677086,0.0,0.0,0.0,0.0,0.0
1687763190.6867511,0.0,0.0,0.0,0.0,0.0
1687763190.6991405,0.0,0.0,0.0,0.0,0.0
1687763190.7089412,0.0,0.0,0.0,0.0,0.0
1687763190.7190263,0.0,0.0,0.0,0.0,0.0
1687763190.7276735,0.0,0.0,0.0,0.0,0.0
1687763190.7367017,0.0,0.0,0.0,0.0,0.0
1687763190.746821,0.0,0.0,0.0,0.0,0.0
1687763190.7576466,0.0,0.0,0.0,0.0,0.0
1687763190.766847,0.0,0.0,0.0,0.0,0.0
1687763190.7778504,0.0,0.0,0.0,0.0,0.0
1687763190.7892473,0.0,0.0,0.0,0.0,0.0
1687763190.79641,0.0,0.0,0.0,0.0,0.0
1687763190.8081546,0.0,0.0,0.0,0.0,0.0
1687763190.8163397,0.0,0.0,0.0,0.0,0.0
1687763190.8275223,0.0,0.0,0.0,0.0,0.0
1687763190.8362057,0.0,0.0,0.0,0.0,0.0
1687763190.8480566,0.0,0.0,0.0,0.0,0.0
1687763190.8563597,0.0,0.0,0.0,0.0,0.0
1687763190.8677065,0.0,0.0,0.0,0.0,0.0
1687763190.8786654,0.0,0.0,0.0,0.0,0.0
1687763190.8866894,0.0,0.0,0.0,0.0,0.0
1687763190.896946,0.0,0.0,0.0,0.0,0.0
1687763190.907538,0.0,0.0,0.0,0.0,0.0
1687763190.9168856,0.0,0.0,0.0,0.0,0.0
1687763190.9262512,0.0,0.0,0.0,0.0,0.0
1687763190.9375842,0.0,0.0,0.0,0.0,0.0
1687763190.9478424,0.0,0.0,0.0,0.0,0.0
1687763190.9560478,0.0,0.0,0.0,0.0,0.0
1687763190.9677172,0.0,0.0,0.0,0.0,0.0
1687763190.9773192,0.0,0.0,0.0,0.0,0.0
1687763190.9873066,0.0,0.0,0.0,0.0,0.0
1687763190.9970713,0.0,0.0,0.0,0.0,0.0
1687763191.0061147,0.0,0.0,0.0,0.0,0.0
1687763191.018662,0.0,0.0,0.0,0.0,0.0
1687763191.0267031,0.0,0.0,0.0,0.0,0.0
