Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1687430481.946636,0.0,0.0,0.0,0.0,0.0
1687430481.9574964,0.0,0.0,0.0,0.0,0.0
1687430481.9662118,0.0,0.0,0.0,0.0,0.0
1687430481.9764433,0.0,0.0,0.0,0.0,0.0
1687430481.9865644,0.0,0.0,0.0,0.0,0.0
1687430481.9978108,0.0,0.0,0.0,0.0,0.0
1687430482.0054064,0.0,0.0,0.0,0.0,0.0
1687430482.016287,0.0,0.0,0.0,0.0,0.0
1687430482.0256617,0.0,0.0,0.0,0.0,0.0
1687430482.0372279,0.0,0.0,0.0,0.0,0.0
1687430482.0458276,0.0,0.0,0.0,0.0,0.0
1687430482.056851,0.0,0.0,0.0,0.0,0.0
1687430482.0673466,0.0,0.0,0.0,0.0,0.0
1687430482.0763383,0.0,0.0,0.0,0.0,0.0
1687430482.0864096,0.0,0.0,0.0,0.0,0.0
1687430482.096159,0.0,0.0,0.0,0.0,0.0
1687430482.1065466,0.0,0.0,0.0,0.0,0.0
1687430482.1163733,0.0,0.0,0.0,0.0,0.0
1687430482.1261666,0.0,0.0,0.0,0.0,0.0
1687430482.1359112,0.0,0.0,0.0,0.0,0.0
1687430482.1454282,0.0,0.0,0.0,0.0,0.0
1687430482.1565483,0.0,0.0,0.0,0.0,0.0
1687430482.1654816,0.0,0.0,0.0,0.0,0.0
1687430482.1770694,0.0,0.0,0.0,0.0,0.0
1687430482.1861887,0.0,0.0,0.0,0.0,0.0
1687430482.1954677,0.0,0.0,0.0,0.0,0.0
1687430482.2074378,0.0,0.0,0.0,0.0,0.0
1687430482.2154484,0.0,0.0,0.0,0.0,0.0
1687430482.2259307,0.0,0.0,0.0,0.0,0.0
1687430482.2351708,0.0,0.0,0.0,0.0,0.0
1687430482.2456138,0.0,0.0,0.0,0.0,0.0
1687430482.2558842,0.0,0.0,0.0,0.0,0.0
1687430482.267284,0.0,0.0,0.0,0.0,0.0
1687430482.2768555,0.0,0.0,0.0,0.0,0.0
1687430482.286694,0.0,0.0,0.0,0.0,0.0
1687430482.2957685,0.0,0.0,0.0,0.0,0.0
1687430482.3067286,0.0,0.0,0.0,0.0,0.0
1687430482.3155127,0.0,0.0,0.0,0.0,0.0
1687430482.3263068,0.0,0.0,0.0,0.0,0.0
1687430482.3376367,0.0,0.0,0.0,0.0,0.0
1687430482.3463085,0.0,0.0,0.0,0.0,0.0
1687430482.356463,0.0,0.0,0.0,0.0,0.0
1687430482.367277,0.0,0.0,0.0,0.0,0.0
1687430482.3762486,0.0,0.0,0.0,0.0,0.0
1687430482.3855612,0.0,0.0,0.0,0.0,0.0
1687430482.3972979,0.0,0.0,0.0,0.0,0.0
1687430482.406545,0.0,0.0,0.0,0.0,0.0
1687430482.4152992,0.0,0.0,0.0,0.0,0.0
1687430482.4280558,0.0,0.0,0.0,0.0,0.0
1687430482.4360855,0.0,0.0,0.0,0.0,0.0
1687430482.4480581,0.0,0.0,0.0,0.0,0.0
1687430482.4561062,0.0,0.0,0.0,0.0,0.0
1687430482.467463,0.0,0.0,0.0,0.0,0.0
1687430482.4757905,0.0,0.0,0.0,0.0,0.0
1687430482.4861495,0.0,0.0,0.0,0.0,0.0
1687430482.4957652,0.0,0.0,0.0,0.0,0.0
1687430482.5054598,0.0,0.0,0.0,0.0,0.0
1687430482.516115,0.0,0.0,0.0,0.0,0.0
1687430482.5256982,0.0,0.0,0.0,0.0,0.0
1687430482.5352516,0.0,0.0,0.0,0.0,0.0
1687430482.5459661,0.0,0.0,0.0,0.0,0.0
1687430482.557121,0.0,0.0,0.0,0.0,0.0
1687430482.566405,0.0,0.0,0.0,0.0,0.0
1687430482.5762963,0.0,0.0,0.0,0.0,0.0
1687430482.5856035,0.0,0.0,0.0,0.0,0.0
1687430482.5953104,0.0,0.0,0.0,0.0,0.0
1687430482.6067445,0.0,0.0,0.0,0.0,0.0
1687430482.6166236,0.0,0.0,0.0,0.0,0.0
1687430482.6262763,0.0,0.0,0.0,0.0,0.0
1687430482.636015,0.0,0.0,0.0,0.0,0.0
1687430482.6456747,0.0,0.0,0.0,0.0,0.0
1687430482.6554997,0.0,0.0,0.0,0.0,0.0
1687430482.6668727,0.0,0.0,0.0,0.0,0.0
1687430482.6782978,0.0,0.0,0.0,0.0,0.0
1687430482.6856978,0.0,0.0,0.0,0.0,0.0
1687430482.6967165,0.0,0.0,0.0,0.0,0.0
1687430482.7051463,0.0,0.0,0.0,0.0,0.0
1687430482.7157218,0.0,0.0,0.0,0.0,0.0
1687430482.725346,0.0,0.0,0.0,0.0,0.0
1687430482.737668,0.0,0.0,0.0,0.0,0.0
1687430482.7453046,0.0,0.0,0.0,0.0,0.0
1687430482.75499,0.0,0.0,0.0,0.0,0.0
1687430482.7661822,0.0,0.0,0.0,0.0,0.0
1687430482.7772536,0.0,0.0,0.0,0.0,0.0
1687430482.7846603,0.0,0.0,0.0,0.0,0.0
1687430482.7958565,0.0,0.0,0.0,0.0,0.0
1687430482.8057249,0.0,0.0,0.0,0.0,0.0
1687430482.8161461,0.0,0.0,0.0,0.0,0.0
1687430482.8261788,0.0,0.0,0.0,0.0,0.0
1687430482.835642,0.0,0.0,0.0,0.0,0.0
1687430482.84504,0.0,0.0,0.0,0.0,0.0
1687430482.857365,0.0,0.0,0.0,0.0,0.0
1687430482.8655405,0.0,0.0,0.0,0.0,0.0
1687430482.8762515,0.0,0.0,0.0,0.0,0.0
1687430482.8847806,0.0,0.0,0.0,0.0,0.0
1687430482.8943627,0.0,0.0,0.0,0.0,0.0
1687430482.9057193,0.0,0.0,0.0,0.0,0.0
1687430482.915235,0.0,0.0,0.0,0.0,0.0
1687430482.924361,0.0,0.0,0.0,0.0,0.0
1687430482.9359446,0.0,0.0,0.0,0.0,0.0
1687430482.947256,0.0,0.0,0.0,0.0,0.0
1687430482.9562798,0.0,0.0,0.0,0.0,0.0
1687430482.9653544,0.0,0.0,0.0,0.0,0.0
1687430482.974951,0.0,0.0,0.0,0.0,0.0
1687430482.9858541,0.0,0.0,0.0,0.0,0.0
1687430482.9948645,0.0,0.0,0.0,0.0,0.0
1687430483.005673,0.0,0.0,0.0,0.0,0.0
1687430483.0168548,0.0,0.0,0.0,0.0,0.0
1687430483.0248115,0.0,0.0,0.0,0.0,0.0
1687430483.0364544,0.0,0.0,0.0,0.0,0.0
1687430483.0444155,0.0,0.0,0.0,0.0,0.0
1687430483.0553653,0.0,0.0,0.0,0.0,0.0
1687430483.0653946,0.0,0.0,0.0,0.0,0.0
1687430483.0754457,0.0,0.0,0.0,0.0,0.0
1687430483.086259,0.0,0.0,0.0,0.0,0.0
1687430483.0959935,0.0,0.0,0.0,0.0,0.0
1687430483.1055477,0.0,0.0,0.0,0.0,0.0
1687430483.116111,0.0,0.0,0.0,0.0,0.0
1687430483.126549,0.0,0.0,0.0,0.0,0.0
1687430483.1367135,0.0,0.0,0.0,0.0,0.0
1687430483.1458569,0.0,0.0,0.0,0.0,0.0
1687430483.154665,0.0,0.0,0.0,0.0,0.0
1687430483.1666558,0.0,0.0,0.0,0.0,0.0
1687430483.1757538,0.0,0.0,0.0,0.0,0.0
1687430483.184969,0.0,0.0,0.0,0.0,0.0
1687430483.196128,0.0,0.0,0.0,0.0,0.0
1687430483.2043161,0.0,0.0,0.0,0.0,0.0
1687430483.215575,0.0,0.0,0.0,0.0,0.0
1687430483.224655,0.0,0.0,0.0,0.0,0.0
1687430483.2362936,0.0,0.0,0.0,0.0,0.0
1687430483.244448,0.0,0.0,0.0,0.0,0.0
1687430483.2547019,0.0,0.0,0.0,0.0,0.0
1687430483.2645686,0.0,0.0,0.0,0.0,0.0
1687430483.2763004,0.0,0.0,0.0,0.0,0.0
1687430483.2852404,0.0,0.0,0.0,0.0,0.0
1687430483.2971525,0.0,0.0,0.0,0.0,0.0
1687430483.3054268,0.0,0.0,0.0,0.0,0.0
1687430483.313987,0.0,0.0,0.0,0.0,0.0
1687430483.324256,0.0,0.0,0.0,0.0,0.0
1687430483.3344934,0.0,0.0,0.0,0.0,0.0
1687430483.3445501,0.0,0.0,0.0,0.0,0.0
1687430483.3543994,0.0,0.0,0.0,0.0,0.0
1687430483.3650196,0.0,0.0,0.0,0.0,0.0
1687430483.3752003,0.0,0.0,0.0,0.0,0.0
1687430483.3854818,0.0,0.0,0.0,0.0,0.0
1687430483.3944688,0.0,0.0,0.0,0.0,0.0
1687430483.4046543,0.0,0.0,0.0,0.0,0.0
