Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1687332163.7640672,10001.0,11283.0,13423.0,10025.0,5273.0
1687332163.784641,10001.0,11074.0,14508.0,10840.0,3582.0
1687332163.80531,10001.0,9675.0,14809.0,10505.0,5015.0
1687332163.826097,10001.0,10924.0,14886.0,9102.0,5092.0
1687332163.8464115,10001.0,11072.0,16470.0,8626.0,3836.0
1687332163.8671396,10001.0,12576.0,15048.0,7514.0,4866.0
1687332163.8874202,10001.0,11741.0,15755.0,10153.0,2355.0
1687332163.9077675,10001.0,11331.0,13551.0,10143.0,4979.0
1687332163.9280906,10001.0,11939.0,14961.0,10551.0,2553.0
1687332163.948377,10501.0,11816.0,13992.0,10680.0,5516.0
1687332163.968647,10501.0,12277.0,13805.0,11509.0,4413.0
1687332163.9892855,10501.0,11324.0,14438.0,10842.0,5400.0
1687332164.010747,10501.0,10781.0,15025.0,9899.0,6299.0
1687332164.0310156,10501.0,8494.0,16092.0,11952.0,5466.0
1687332164.051637,10501.0,9605.0,15583.0,10763.0,6053.0
1687332164.0721104,10501.0,10670.0,16648.0,10788.0,3898.0
1687332164.092402,10501.0,10443.0,13535.0,11641.0,6385.0
1687332164.1126833,10501.0,9005.0,14965.0,12633.0,5401.0
1687332164.1329398,10501.0,9605.0,14707.0,11119.0,6573.0
1687332164.1533082,11001.0,11205.0,15631.0,10671.0,6497.0
1687332164.1735423,11001.0,11155.0,16709.0,10577.0,5563.0
1687332164.1938221,11001.0,10652.0,16332.0,11704.0,5316.0
1687332164.2141573,11001.0,11347.0,16915.0,10649.0,5093.0
1687332164.2344878,11001.0,11018.0,16424.0,11400.0,5162.0
1687332164.2547624,11001.0,11456.0,15560.0,10916.0,6072.0
1687332164.274997,11001.0,9814.0,16140.0,12030.0,6020.0
1687332164.2953615,11001.0,11472.0,15926.0,9894.0,6712.0
1687332164.3156781,11001.0,10846.0,16850.0,11686.0,4622.0
1687332164.3360586,11001.0,10635.0,17791.0,12385.0,3193.0
