Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1687761895.3337727,0.0,0.0,0.0,0.0,0.0
1687761895.3436627,0.0,0.0,0.0,0.0,0.0
1687761895.35412,0.0,0.0,0.0,0.0,0.0
1687761895.3662517,0.0,0.0,0.0,0.0,0.0
1687761895.3743153,0.0,0.0,0.0,0.0,0.0
1687761895.384948,0.0,0.0,0.0,0.0,0.0
1687761895.3940306,0.0,0.0,0.0,0.0,0.0
1687761895.405112,0.0,0.0,0.0,0.0,0.0
1687761895.4156477,0.0,0.0,0.0,0.0,0.0
1687761895.424444,0.0,0.0,0.0,0.0,0.0
1687761895.434926,0.0,0.0,0.0,0.0,0.0
1687761895.4449697,0.0,0.0,0.0,0.0,0.0
1687761895.4543943,0.0,0.0,0.0,0.0,0.0
1687761895.4649704,0.0,0.0,0.0,0.0,0.0
1687761895.475505,0.0,0.0,0.0,0.0,0.0
1687761895.4845037,0.0,0.0,0.0,0.0,0.0
1687761895.4940436,0.0,0.0,0.0,0.0,0.0
1687761895.505654,0.0,0.0,0.0,0.0,0.0
1687761895.513613,0.0,0.0,0.0,0.0,0.0
1687761895.5246234,0.0,0.0,0.0,0.0,0.0
1687761895.5343816,0.0,0.0,0.0,0.0,0.0
1687761895.5444956,0.0,0.0,0.0,0.0,0.0
1687761895.5563133,0.0,0.0,0.0,0.0,0.0
1687761895.5633886,0.0,0.0,0.0,0.0,0.0
1687761895.5746555,0.0,0.0,0.0,0.0,0.0
1687761895.583896,0.0,0.0,0.0,0.0,0.0
1687761895.5945683,0.0,0.0,0.0,0.0,0.0
1687761895.6041725,0.0,0.0,0.0,0.0,0.0
1687761895.6145027,0.0,0.0,0.0,0.0,0.0
1687761895.6261668,0.0,0.0,0.0,0.0,0.0
1687761895.6335373,0.0,0.0,0.0,0.0,0.0
1687761895.6440148,0.0,0.0,0.0,0.0,0.0
1687761895.6539495,0.0,0.0,0.0,0.0,0.0
1687761895.6654994,0.0,0.0,0.0,0.0,0.0
1687761895.6734593,0.0,0.0,0.0,0.0,0.0
1687761895.6839242,0.0,0.0,0.0,0.0,0.0
1687761895.693318,0.0,0.0,0.0,0.0,0.0
1687761895.7043788,0.0,0.0,0.0,0.0,0.0
1687761895.713197,0.0,0.0,0.0,0.0,0.0
1687761895.724767,0.0,0.0,0.0,0.0,0.0
1687761895.7356713,0.0,0.0,0.0,0.0,0.0
1687761895.7437136,0.0,0.0,0.0,0.0,0.0
1687761895.7535923,0.0,0.0,0.0,0.0,0.0
1687761895.76358,0.0,0.0,0.0,0.0,0.0
1687761895.7744277,0.0,0.0,0.0,0.0,0.0
1687761895.7844677,0.0,0.0,0.0,0.0,0.0
1687761895.793472,0.0,0.0,0.0,0.0,0.0
1687761895.8043144,0.0,0.0,0.0,0.0,0.0
1687761895.8153126,0.0,0.0,0.0,0.0,0.0
1687761895.824718,0.0,0.0,0.0,0.0,0.0
1687761895.834316,0.0,0.0,0.0,0.0,0.0
