Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1687430519.2034357,0.0,0.0,0.0,0.0,0.0
1687430519.2139435,0.0,0.0,0.0,0.0,0.0
1687430519.224018,0.0,0.0,0.0,0.0,0.0
1687430519.2341316,0.0,0.0,0.0,0.0,0.0
1687430519.24367,0.0,0.0,0.0,0.0,0.0
1687430519.254682,0.0,0.0,0.0,0.0,0.0
1687430519.263147,0.0,0.0,0.0,0.0,0.0
1687430519.273404,0.0,0.0,0.0,0.0,0.0
1687430519.2852356,0.0,0.0,0.0,0.0,0.0
1687430519.2938838,0.0,0.0,0.0,0.0,0.0
1687430519.3040724,0.0,0.0,0.0,0.0,0.0
1687430519.3139338,0.0,0.0,0.0,0.0,0.0
1687430519.3252957,0.0,0.0,0.0,0.0,0.0
1687430519.3331218,0.0,0.0,0.0,0.0,0.0
1687430519.3438363,0.0,0.0,0.0,0.0,0.0
1687430519.354436,0.0,0.0,0.0,0.0,0.0
1687430519.364871,0.0,0.0,0.0,0.0,0.0
1687430519.3755765,0.0,0.0,0.0,0.0,0.0
1687430519.3834207,0.0,0.0,0.0,0.0,0.0
1687430519.3931448,0.0,0.0,0.0,0.0,0.0
1687430519.4028795,0.0,0.0,0.0,0.0,0.0
1687430519.4131851,0.0,0.0,0.0,0.0,0.0
1687430519.4231367,0.0,0.0,0.0,0.0,0.0
1687430519.4339588,0.0,0.0,0.0,0.0,0.0
1687430519.4431438,0.0,0.0,0.0,0.0,0.0
1687430519.4544485,0.0,0.0,0.0,0.0,0.0
1687430519.462778,0.0,0.0,0.0,0.0,0.0
1687430519.4733746,0.0,0.0,0.0,0.0,0.0
1687430519.4829519,0.0,0.0,0.0,0.0,0.0
1687430519.493612,0.0,0.0,0.0,0.0,0.0
1687430519.5047653,0.0,0.0,0.0,0.0,0.0
1687430519.5139394,0.0,0.0,0.0,0.0,0.0
1687430519.5230248,0.0,0.0,0.0,0.0,0.0
1687430519.5340376,0.0,0.0,0.0,0.0,0.0
1687430519.543413,0.0,0.0,0.0,0.0,0.0
1687430519.5536523,0.0,0.0,0.0,0.0,0.0
1687430519.5655055,0.0,0.0,0.0,0.0,0.0
1687430519.573863,0.0,0.0,0.0,0.0,0.0
1687430519.5840237,0.0,0.0,0.0,0.0,0.0
1687430519.59382,0.0,0.0,0.0,0.0,0.0
1687430519.603808,0.0,0.0,0.0,0.0,0.0
1687430519.614671,0.0,0.0,0.0,0.0,0.0
1687430519.6248527,0.0,0.0,0.0,0.0,0.0
1687430519.6350448,0.0,0.0,0.0,0.0,0.0
1687430519.642628,0.0,0.0,0.0,0.0,0.0
1687430519.653689,0.0,0.0,0.0,0.0,0.0
1687430519.663445,0.0,0.0,0.0,0.0,0.0
1687430519.6734776,0.0,0.0,0.0,0.0,0.0
1687430519.6846128,0.0,0.0,0.0,0.0,0.0
1687430519.6934438,0.0,0.0,0.0,0.0,0.0
1687430519.702979,0.0,0.0,0.0,0.0,0.0
1687430519.7133176,0.0,0.0,0.0,0.0,0.0
1687430519.7237225,0.0,0.0,0.0,0.0,0.0
1687430519.7332816,0.0,0.0,0.0,0.0,0.0
1687430519.743401,0.0,0.0,0.0,0.0,0.0
1687430519.7533941,0.0,0.0,0.0,0.0,0.0
1687430519.762973,0.0,0.0,0.0,0.0,0.0
1687430519.7734141,0.0,0.0,0.0,0.0,0.0
1687430519.7830956,0.0,0.0,0.0,0.0,0.0
1687430519.792807,0.0,0.0,0.0,0.0,0.0
1687430519.8052979,0.0,0.0,0.0,0.0,0.0
1687430519.8144007,0.0,0.0,0.0,0.0,0.0
1687430519.8235486,0.0,0.0,0.0,0.0,0.0
1687430519.8339388,0.0,0.0,0.0,0.0,0.0
1687430519.8436208,0.0,0.0,0.0,0.0,0.0
1687430519.8553646,0.0,0.0,0.0,0.0,0.0
1687430519.8639953,0.0,0.0,0.0,0.0,0.0
1687430519.874169,0.0,0.0,0.0,0.0,0.0
1687430519.8833156,0.0,0.0,0.0,0.0,0.0
1687430519.8942752,0.0,0.0,0.0,0.0,0.0
1687430519.9047709,0.0,0.0,0.0,0.0,0.0
1687430519.9136796,0.0,0.0,0.0,0.0,0.0
1687430519.924778,0.0,0.0,0.0,0.0,0.0
1687430519.9345007,0.0,0.0,0.0,0.0,0.0
1687430519.9435937,0.0,0.0,0.0,0.0,0.0
1687430519.9529,0.0,0.0,0.0,0.0,0.0
1687430519.9642084,0.0,0.0,0.0,0.0,0.0
1687430519.9739552,0.0,0.0,0.0,0.0,0.0
1687430519.9829166,0.0,0.0,0.0,0.0,0.0
1687430519.994054,0.0,0.0,0.0,0.0,0.0
1687430520.0021706,0.0,0.0,0.0,0.0,0.0
1687430520.013226,0.0,0.0,0.0,0.0,0.0
1687430520.0229738,0.0,0.0,0.0,0.0,0.0
1687430520.032972,0.0,0.0,0.0,0.0,0.0
1687430520.0421271,0.0,0.0,0.0,0.0,0.0
1687430520.0529437,0.0,0.0,0.0,0.0,0.0
1687430520.0624225,0.0,0.0,0.0,0.0,0.0
