Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1690291213.3276951,10001.0,42136.0,10632.0,0.0,10632.0
1690291213.3373144,10001.0,41752.0,11016.0,0.0,11016.0
1690291213.3482604,10001.0,42102.0,10666.0,0.0,10666.0
1690291213.357453,10001.0,42838.0,9930.0,0.0,9930.0
1690291213.3679948,10001.0,42819.0,9949.0,0.0,9949.0
1690291213.3778574,10001.0,44629.0,8139.0,0.0,8139.0
1690291213.3882535,10001.0,44264.0,8504.0,0.0,8504.0
1690291213.397865,10001.0,47415.0,5353.0,0.0,5353.0
1690291213.4078598,10001.0,46046.0,6722.0,0.0,6722.0
1690291213.4185145,10001.0,50125.0,2643.0,0.0,2643.0
1690291213.4280355,10501.0,48491.0,5277.0,0.0,5277.0
1690291213.4380438,10501.0,53399.0,369.0,0.0,369.0
1690291213.4484255,10501.0,49806.0,3962.0,0.0,3962.0
1690291213.4597018,10501.0,53239.0,529.0,0.0,529.0
1690291213.4688556,10501.0,49923.0,3845.0,0.0,3845.0
1690291213.4789598,10501.0,52099.0,1669.0,0.0,1669.0
1690291213.4893212,10501.0,49146.0,4622.0,0.0,4622.0
1690291213.4980166,10501.0,51051.0,2717.0,0.0,2717.0
1690291213.5083287,10501.0,48621.0,5147.0,0.0,5147.0
1690291213.5191803,10501.0,50376.0,3392.0,0.0,3392.0
1690291213.5282538,11001.0,48760.0,6008.0,0.0,6008.0
1690291213.5384364,11001.0,50135.0,4633.0,0.0,4633.0
1690291213.549374,11001.0,48207.0,6561.0,0.0,6561.0
1690291213.558061,11001.0,48624.0,6144.0,0.0,6144.0
1690291213.5685546,11001.0,47394.0,7374.0,0.0,7374.0
1690291213.5791004,11001.0,47879.0,6889.0,0.0,6889.0
1690291213.5883696,11001.0,47688.0,7080.0,0.0,7080.0
1690291213.5991757,11001.0,48626.0,6142.0,0.0,6142.0
1690291213.6093228,11001.0,48383.0,6385.0,0.0,6385.0
1690291213.6200092,11001.0,48952.0,5816.0,0.0,5816.0
1690291213.629399,10501.0,48113.0,5655.0,0.0,5655.0
1690291213.6386704,10501.0,47958.0,5810.0,0.0,5810.0
1690291213.6479862,10501.0,47695.0,6073.0,0.0,6073.0
1690291213.658502,10501.0,47080.0,6688.0,0.0,6688.0
1690291213.6682918,10501.0,46878.0,6890.0,0.0,6890.0
1690291213.6777258,10501.0,45934.0,7834.0,0.0,7834.0
1690291213.6883729,10501.0,46468.0,7300.0,0.0,7300.0
1690291213.698589,10501.0,45900.0,7868.0,0.0,7868.0
1690291213.707474,10501.0,46942.0,6826.0,0.0,6826.0
1690291213.7176986,10501.0,46370.0,7398.0,0.0,7398.0
1690291213.7287269,10001.0,46587.0,6181.0,0.0,6181.0
1690291213.7384498,10001.0,45717.0,7051.0,0.0,7051.0
1690291213.7493103,10001.0,46349.0,6419.0,0.0,6419.0
1690291213.7604237,10001.0,45864.0,6904.0,0.0,6904.0
1690291213.7683644,10001.0,46422.0,6346.0,0.0,6346.0
1690291213.7786803,10001.0,46274.0,6494.0,0.0,6494.0
1690291213.7901251,10001.0,46586.0,6182.0,0.0,6182.0
1690291213.7975051,10001.0,46778.0,5990.0,0.0,5990.0
1690291213.8078904,10001.0,46928.0,5840.0,0.0,5840.0
1690291213.819431,10001.0,46437.0,6331.0,0.0,6331.0
1690291213.8274105,0.0,0.0,0.0,0.0,0.0
1690291213.8379328,0.0,0.0,0.0,0.0,0.0
1690291213.8498554,0.0,0.0,0.0,0.0,0.0
1690291213.8574758,0.0,0.0,0.0,0.0,0.0
1690291213.8689368,0.0,0.0,0.0,0.0,0.0
1690291213.8789682,0.0,0.0,0.0,0.0,0.0
1690291213.888288,0.0,0.0,0.0,0.0,0.0
1690291213.8977313,0.0,0.0,0.0,0.0,0.0
1690291213.9106927,0.0,0.0,0.0,0.0,0.0
1690291213.9194348,0.0,0.0,0.0,0.0,0.0
