Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1687260267.8160784,20000.0,48393.0,24373.0,0.0,19327.0
1687260267.826015,20000.0,48842.0,23924.0,0.0,18404.0
1687260267.836671,20000.0,49624.0,23142.0,0.0,15686.0
1687260267.8481195,20000.0,49528.0,23238.0,0.0,13888.0
1687260267.8563566,20000.0,50177.0,22589.0,0.0,11005.0
1687260267.8664818,20000.0,48908.0,23858.0,0.0,11672.0
1687260267.8764682,20000.0,48299.0,24467.0,0.0,11973.0
1687260267.8857036,20000.0,46849.0,25917.0,0.0,12173.0
1687260267.8979037,20000.0,46088.0,26678.0,0.0,15572.0
1687260267.9063218,20500.0,48999.0,24767.0,0.0,18221.0
1687260267.91685,20500.0,49883.0,23883.0,0.0,21311.0
1687260267.9252815,20500.0,51688.0,22078.0,0.0,20628.0
1687260267.9362605,20500.0,51058.0,22708.0,0.0,18552.0
1687260267.94654,20500.0,50100.0,23666.0,0.0,17534.0
1687260267.9562862,20500.0,45991.0,27775.0,0.0,16401.0
1687260267.9674058,20500.0,44517.0,29249.0,0.0,15817.0
1687260267.9775376,20500.0,37271.0,36495.0,0.0,20727.0
1687260267.986986,20500.0,40726.0,33040.0,0.0,21914.0
1687260267.9985144,20500.0,40145.0,33621.0,0.0,32895.0
1687260268.0069442,21000.0,51986.0,22780.0,0.0,22780.0
1687260268.0160096,21000.0,65535.0,5517.0,14209.0,0.0
1687260268.0269268,21000.0,65535.0,4512.0,31332.0,0.0
1687260268.036813,21000.0,57269.0,17497.0,50265.0,0.0
1687260268.045991,21000.0,50258.0,24508.0,50258.0,0.0
1687260268.0555599,21000.0,22140.0,52626.0,0.0,9954.0
1687260268.0662408,21000.0,8264.0,26272.0,0.0,59352.0
1687260268.0768428,21000.0,0.0,27270.0,0.0,65535.0
1687260268.0865104,21000.0,34035.0,40731.0,0.0,40731.0
1687260268.0961757,21000.0,37988.0,36778.0,0.0,27302.0
1687260268.1070194,21500.0,51824.0,23942.0,0.0,23942.0
1687260268.115314,21500.0,57673.0,18093.0,0.0,18093.0
1687260268.1270294,21500.0,54227.0,21539.0,0.0,21539.0
1687260268.136776,21500.0,52248.0,23518.0,772.0,9462.0
1687260268.1462092,21500.0,51373.0,24393.0,0.0,10243.0
1687260268.1566365,21500.0,58421.0,17345.0,0.0,13273.0
1687260268.1655016,21500.0,55995.0,19771.0,0.0,19771.0
1687260268.1758425,21500.0,57693.0,18073.0,0.0,18073.0
1687260268.1859431,21500.0,55003.0,20763.0,0.0,20763.0
1687260268.1959774,21500.0,59062.0,16704.0,0.0,16704.0
1687260268.2069008,22000.0,56158.0,20608.0,0.0,20608.0
1687260268.2155788,22000.0,56393.0,20373.0,0.0,15067.0
1687260268.2256203,22000.0,55657.0,21109.0,0.0,11951.0
1687260268.2353268,22000.0,62991.0,13775.0,0.0,13321.0
1687260268.24693,22000.0,60984.0,15782.0,0.0,15782.0
1687260268.2561686,22000.0,63000.0,13766.0,0.0,13766.0
1687260268.2668083,22000.0,58707.0,18059.0,0.0,18059.0
1687260268.2773786,22000.0,56749.0,20017.0,0.0,20017.0
1687260268.2856157,22000.0,54288.0,22478.0,0.0,22478.0
1687260268.2966022,22000.0,53371.0,23395.0,0.0,23395.0
1687260268.3060095,22500.0,54236.0,23530.0,0.0,23530.0
1687260268.3156452,22500.0,54994.0,22772.0,0.0,22772.0
1687260268.3260047,22500.0,55233.0,22533.0,0.0,22533.0
1687260268.3364105,22500.0,56557.0,21209.0,0.0,21209.0
1687260268.3457756,22500.0,55696.0,22070.0,0.0,22070.0
1687260268.3561208,22500.0,53158.0,24608.0,0.0,24608.0
1687260268.3667293,22500.0,53600.0,24166.0,0.0,24166.0
1687260268.3771665,22500.0,50832.0,26934.0,0.0,26934.0
1687260268.3853145,22500.0,52791.0,24975.0,0.0,24975.0
1687260268.3966553,22500.0,53324.0,24442.0,0.0,24442.0
1687260268.4058182,22500.0,54505.0,23261.0,0.0,23261.0
1687260268.416138,23000.0,56840.0,21926.0,0.0,21926.0
1687260268.4270234,23000.0,58953.0,19813.0,0.0,19813.0
1687260268.4373395,23000.0,58541.0,20225.0,0.0,20225.0
1687260268.4461722,23000.0,58891.0,19875.0,0.0,19875.0
1687260268.4555159,23000.0,58255.0,20511.0,0.0,20511.0
1687260268.466219,23000.0,58796.0,19970.0,0.0,19970.0
1687260268.4760156,23000.0,58364.0,20402.0,0.0,20402.0
1687260268.4860966,23000.0,59191.0,19575.0,0.0,19575.0
1687260268.4959803,23000.0,57476.0,21290.0,0.0,21290.0
1687260268.5066135,23000.0,57137.0,21629.0,0.0,21629.0
1687260268.518235,23500.0,57470.0,22296.0,0.0,22296.0
1687260268.5255163,23500.0,57148.0,22618.0,0.0,22618.0
1687260268.5364249,23500.0,57919.0,21847.0,0.0,21847.0
1687260268.5459948,23500.0,57842.0,21924.0,0.0,21924.0
1687260268.5559258,23500.0,58210.0,21556.0,0.0,21556.0
1687260268.5654576,23500.0,58524.0,21242.0,0.0,21242.0
1687260268.5752356,23500.0,58532.0,21234.0,0.0,21234.0
