motor.m1,motor.m2,motor.m3,motor.m4
-0.5406708134162683,-0.5731514630292606,-0.6047520950419009,-0.5577111542230845
-0.5526710534210684,-0.5843516870337406,-0.5617112342246845,-0.5775515510310206
-0.5549110982219645,-0.5902718054361087,-0.5885917718354368,-0.5425108502170044
-0.5771115422308446,-0.629672593451869,-0.5599911998239965,-0.5095101902038041
-0.5381907638152763,-0.6049120982419649,-0.5538710774215485,-0.4719494389887797
-0.5074701494029881,-0.5450709014180284,-0.5737914758295166,-0.5425908518170364
-0.5200704014080282,-0.5550311006220124,-0.5646312926258525,-0.5291905838116762
-0.5255505110102202,-0.5545110902218044,-0.5556311126222524,-0.5332306646132923
-0.4939498789975799,-0.5772315446308927,-0.5893917878357567,-0.5083501670033401
-0.5421508430168603,-0.5487909758195164,-0.5479109582191644,-0.5300706014120282
-0.503710074201484,-0.5690713814276285,-0.5823516470329406,-0.5137902758055162
-0.495029900598012,-0.5640712814256286,-0.5911118222364447,-0.5187103742074841
-0.509270185403708,-0.5585511710234204,-0.5742314846296925,-0.5268705374107483
-0.5173503470069402,-0.5745514910298206,-0.5709514190283806,-0.5060701214024281
-0.504510090201804,-0.5801116022320447,-0.5617912358247166,-0.5225104502090041
-0.49854997099942,-0.5742314846296925,-0.5622312446248925,-0.5339106782135643
-0.5203904078081562,-0.5572711454229085,-0.5463109262185244,-0.5449508990179803
-0.49026980539610787,-0.5833116662333246,-0.5895517910358208,-0.505790115802316
-0.4947098941978839,-0.5662313246264925,-0.5468709374187484,-0.4897497949958999
-0.48978979579591597,-0.5512310246204923,-0.5646712934258685,-0.49186983739674794
-0.48934978699573994,-0.5676713534270685,-0.5542310846216925,-0.48630972619452384
-0.49262985259705194,-0.5736714734294686,-0.5630312606252126,-0.4682293645872917
-0.502510050201004,-0.5522710454209084,-0.5529910598211965,-0.48978979579591597
-0.29602592051841037,-0.3709074181483629,-0.35874717494349884,-0.2857857157143143
-0.26546530930618617,-0.39178783575671516,-0.36834736694733894,-0.2858657173143463
-0.2835456709134183,-0.3621872437448749,-0.3416268325366507,-0.32410648212964255
-0.2558251165023301,-0.369747394947899,-0.3985479709594192,-0.2873457469149383
-0.29990599811996244,-0.3525470509410188,-0.39102782055641117,-0.26798535970719417
-0.25234504690093806,-0.3856277125542511,-0.3905078101562032,-0.2829856597131942
-0.29754595091901836,-0.37242744854897103,-0.367227344546891,-0.2742654853097062
-0.2713854277085541,-0.3639472789455789,-0.3609072181443629,-0.3152263045260906
-0.2901058021160423,-0.4012280245604912,-0.35338706774135487,-0.26674533490669816
-0.29990599811996244,-0.32590651813036264,-0.365747314946299,-0.3199063981279625
-0.24742494849897,-0.29830596611932236,-0.4163883277665553,-0.34934698693973876
-0.28042560851217024,-0.4324286485729715,-0.370507410148203,-0.22810456209124186
-0.3123462469249385,-0.32738654773095466,-0.3136262725254505,-0.3581071621432429
-0.23790475809516187,-0.2975059501190024,-0.4179083581671633,-0.3581471629432589
-0.24018480369607387,-0.3416268325366507,-0.37570751415028303,-0.24658493169863394
-0.22430448608972176,-0.3331066621332427,-0.34630692613852276,-0.30038600772015445
-0.2957459149182984,-0.37590751815036305,-0.31070621412428245,-0.22174443488869777
-0.2148242964859297,-0.31834636692733853,-0.4068281365627312,-0.2641052821056421
-0.28398567971359423,-0.33670673413468266,-0.2914258285165703,-0.29198583971679437
-0.3326266525330507,-0.24342486849737,-0.29430588611772235,-0.22654453089061777
-0.34178683573671476,-0.24282485649712993,-0.2644252885057701,-0.24786495729914604
-0.2621452429048581,-0.2353447068941379,-0.28470569411388225,-0.31470629412588247
-0.23894477889557786,-0.29630592611852236,-0.3037460749214984,-0.25790515810316206
-0.2808256165123303,-0.3318666373327467,-0.2681853637072742,-0.21602432048640974
-0.2592651853037061,-0.33654673093461873,-0.2954259085181704,-0.20566411328226564
-0.3183863677273545,-0.3935078701574032,-0.25006500130002596,-0.13494269885397703
-0.2853057061141223,-0.32562651253025066,-0.30690613812276246,-0.17906358127162547
-0.14874297485949717,-0.30442608852177044,-0.4861097221944439,-0.15762315246304925
-0.2913858277165543,-0.17650353007060138,-0.35794715894317886,-0.16370327406548135
-0.365987319746395,-0.08006160123202466,-0.2817456349126982,-0.26174523490469814
-0.3364267285345707,-0.15458309166183326,-0.2649052981059621,-0.23362467249344987
-0.27278545570911417,-0.2580651613032261,-0.31902638052761056,-0.13966279325586517
-0.31126622532450654,-0.20238404768095364,-0.22022440448808978,-0.25566511330226604
-0.30798615972319443,-0.11798235964719295,-0.15558311166223326,-0.40798815976319525
-0.1789435788715774,-0.12654253085061706,-0.2694253885077702,-0.3077461549230984
-0.20846416928338563,-0.2325446508930179,-0.22838456769135385,-0.21326426528530573
-0.3138262765255305,-0.21598431968639376,-0.11894237884757697,-0.23390467809356186
-0.32110642212844254,-0.11902238044760893,-0.12798255965119298,-0.31454629092581854
-0.30942618852377046,-0.01702034040680811,-0.03862077241544826,-0.3030260605212104
-0.2883057661153223,-0.04342086841736836,-0.0759015180303606,-0.26046520930418604
-0.19950399007980157,-0.09926198523970475,-0.17150343006860136,-0.19782395647912954
-0.051901038020760404,-0.17862357247144944,-0.33846676933538666,-0.09910198203964082
-0.15226304526090517,-0.1547430948618972,-0.23690473809476187,-0.12418248364967299
-0.2545850917018341,-0.039060781215624285,-0.126662533250665,-0.24778495569911396
-0.15030300606012115,-0.03910078201564027,-0.2363047260945219,-0.2423848476969539
-0.22302446048920976,-0.19662393247864962,-0.15918318366367323,-0.08926178523570472
-0.22818456369127382,-0.22338446768935383,-0.12202244044880894,-0.09450189003780074
-0.18710374207484148,-0.10934218684373687,-0.17270345406908139,-0.1989439788795776
-0.10478209564191288,0.016020320406408217,-0.24902498049960997,-0.3303066061321226
-0.08534170683413667,0.010820216404328065,-0.248704974099482,-0.34486689733794673
-0.20326406528130558,-0.12430248604972094,-0.1451029020580411,-0.1954239084781696
-0.29530590611812235,-0.23586471729434588,-0.05282105642112844,-0.08410168203364066
-0.2898657973159463,-0.23410468209364188,-0.05938118762375244,-0.08474169483389671
-0.24778495569911396,-0.20738414768295366,-0.10778215564311289,-0.10514210284205683
-0.17726354527090538,-0.08670173403468073,-0.1923838476769535,-0.21174423488469774
-0.15594311886237722,-0.011460229204584116,-0.22058441168823373,-0.2801056021120423
-0.14118282365647317,0.04898097961959236,-0.23998479969599396,-0.3359067181343627
-0.18742374847496945,-0.04614092281845639,-0.19550391007820156,-0.23902478049560993
-0.2771855437108742,-0.12406248124962505,-0.1123022460449209,-0.15454309086181728
-0.244944898897978,-0.2004640092801856,-0.1363027260545211,-0.08638172763455265
-0.15882317646352928,-0.20162403248064964,-0.23066461329226584,-0.07698153963079257
-0.15806316126322528,-0.14318286365727317,-0.24326486529730595,-0.12358247164943303
-0.2073041460829217,-0.10018200364007279,-0.1938638772775455,-0.16674333486669735
-0.2538250765015301,-0.010620212404248042,-0.17126342526850535,-0.23238464769295386
-0.19154383087661753,-0.024580491609832222,-0.2309846196923938,-0.22098441968839377
-0.20614412288245765,-0.0549410988219764,-0.21878437568751374,-0.18822376447528955
-0.2234644692893858,-0.09098181963639274,-0.20290405808116163,-0.15074301486029718
-0.22514450289005783,-0.15034300686013724,-0.20770415408308163,-0.08490169803396064
-0.20466409328186563,-0.16266325326506526,-0.21354427088541772,-0.08722174443488873
-0.18894377887557756,-0.15278305566111328,-0.23742474849496986,-0.08894177883557675
-0.21902438048760975,-0.10982219644392888,-0.21542430848616967,-0.12382247644952904
-0.2360647212944259,-0.08606172123442468,-0.20518410368207363,-0.14078281565631312
-0.23394467889357784,-0.0764215284305686,-0.2130642612852257,-0.1446628932578652
-0.23322466449328982,-0.06842136842736857,-0.21122422448448974,-0.1552231044620892
-0.2373447468949379,-0.07326146522930455,-0.20942418848376965,-0.14806296125922513
-0.2681053621072421,-0.08498169963399271,-0.20490409808196164,-0.11010220204404086
-0.255265105302106,-0.1062221244424888,-0.2166243324866497,-0.08998179963599273
-0.2654253085061701,-0.10278205564111287,-0.20518410368207363,-0.09470189403788076
-0.2063041260825217,-0.09894197883957678,-0.27430548610972216,-0.0885417708354167
-0.23262465249304987,-0.053021060421208466,-0.249744994899898,-0.13270265405308102
-0.28642572851457027,-0.005780115602312064,-0.1984239684793696,-0.1774635492709854
-0.26982539650793014,-0.0405408108162163,-0.18566371327426545,-0.17206344126882533
-0.22658453169063386,-0.06410128202564047,-0.22602452049040977,-0.15138302766055323
-0.14254285085701712,-0.11350227004540092,-0.3015060301206024,-0.11054221084421689
-0.16046320926418534,-0.14166283325666518,-0.27918558371167423,-0.0867817356347127
-0.20938418768375366,-0.15506310126202527,-0.23018460369207383,-0.07346146922938457
-0.23122462449248982,-0.07450149002980055,-0.14834296685933723,-0.10666213324266482
-0.2166243324866497,-0.06534130682613648,-0.16070321406428123,-0.11806236124722491
-0.22078441568831375,-0.07774155483109657,-0.15846316926338522,-0.10374207484149678
-0.19910398207964164,-0.06422128442568853,-0.1830236604732095,-0.11438228764575287
-0.1650633012660253,-0.05258105162103244,-0.2049840996819936,-0.13810276205524108
-0.1711834236684734,-0.08606172123442468,-0.24382487649752993,-0.16702334046680933
-0.17030340606812133,-0.14702294045880915,-0.2207044140882818,-0.13006260125202507
-0.19378387567751354,-0.18618372367447344,-0.17666353327066542,-0.11146222924458493
-0.24222484449688997,-0.15886317726354526,-0.13118262365247302,-0.13582271645432908
-0.22742454849096982,-0.08566171323426464,-0.15038300766015322,-0.20462409248184965
-0.2115842316846337,-0.03830076601532029,-0.16902338046760934,-0.249184983699674
-0.18010360207204146,-0.0058601172023440284,-0.19242384847696958,-0.28970579411588226
-0.16490329806596127,-0.08530170603412068,-0.1966639332786656,-0.22122442448848978
-0.18266365327306544,-0.1317826356527131,-0.1562631252625053,-0.19738394767895362
-0.22162443248864983,-0.16322326446528934,-0.11258225164503288,-0.1706634132682654
-0.251785035700714,-0.19426388527770555,-0.07922158443168859,-0.1428228564571291
-0.2282645652913058,-0.1643432868657373,-0.10314206284125682,-0.17234344686893743
-0.20970419408388163,-0.11978239564791293,-0.1337826756535131,-0.20482409648192967
-0.19078381567631353,-0.08494169883397673,-0.15262305246104924,-0.23974479489589795
-0.18070361407228142,-0.125422508450169,-0.1827836556731135,-0.17918358367167342
-0.2125842516850337,-0.17226344526890536,-0.15090301806036122,-0.13234264685293706
-0.24938498769975403,-0.18042360847216943,-0.10210204204084083,-0.13618272365447304
-0.2393847876957539,-0.16090321806436125,-0.10906218124362488,-0.15874317486349732
-0.15126302526050517,-0.09222184443688874,-0.19638392767855362,-0.2282245644912898
-0.1305026100522011,-0.08714174283485665,-0.2088241764835297,-0.2416248324966499
-0.17178343566871335,-0.16194323886477735,-0.1353027060541211,-0.19906398127962555
-0.21702434048680974,-0.15846316926338522,-0.09550191003820074,-0.19710394207884163
-0.24598491969839398,-0.16486329726594529,-0.08838176763535266,-0.1688633772675453
-0.23134462689253787,-0.23262465249304987,-0.09310186203724069,-0.1110222204444089
-0.22882457649152987,-0.20546410928218561,-0.0698613972279446,-0.16394327886557736
-0.12202244044880894,-0.20546410928218561,-0.1521830436608732,-0.18842376847536946
-0.09474189483789675,-0.07434148682973662,-0.20586411728234566,-0.2931458629172583
-0.13722274445488913,-0.07850157003140068,-0.16266325326506526,-0.28970579411588226
-0.2166243324866497,-0.08590171803436064,-0.03862077241544826,-0.21958439168783372
-0.2446248924978499,-0.15406308126162527,-0.03286065721314424,-0.129182583651673
-0.2287445748914978,-0.17714354287085743,-0.04842096841936838,-0.10642212844256882
-0.22638452769055384,-0.127182543650873,-0.05822116442328851,-0.1489429788595772
-0.15566311326226523,-0.07118142362847257,-0.12838256765135303,-0.2055041100822016
-0.14610292205844122,-0.09746194923898477,-0.19802396047920956,-0.22650453009060179
-0.1433828676573532,-0.11594231884637696,-0.1986639732794656,-0.21010420208404168
-0.22838456769135385,-0.12358247164943303,-0.11566231324626497,-0.2004640092801856
-0.25894517890357804,-0.1504630092601852,-0.07958159163183265,-0.17910358207164145
-0.23926478529570594,-0.16902338046760934,-0.08110162203244065,-0.1787035740714814
-0.22958459169183387,-0.1547030940618812,-0.08710174203484067,-0.19670393407868159
-0.11754235084701692,-0.18362367247344946,-0.19778395567911355,-0.1691433828676574
-0.12042240844816898,-0.20258405168103366,-0.19114382287645748,-0.1539430788615772
-0.16174323486469733,-0.15462309246184924,-0.14142282845656917,-0.2103042060841217
-0.17558351167023345,-0.12782255645112905,-0.1075021500430009,-0.25718514370287404
-0.22786455729114585,-0.14138282765655308,-0.05706114122282446,-0.24178483569671394
-0.2588251765035301,-0.1489029780595612,-0.046100922018440404,-0.21426428528570574
-0.18802376047520952,-0.15994319886397723,-0.11522230444608894,-0.20490409808196164
-0.16474329486589734,-0.16426328526570533,-0.1517030340606812,-0.18738374767495347
-0.15858317166343328,-0.17338346766935342,-0.1617832356647133,-0.17434348686973744
-0.14654293085861714,-0.16086321726434527,-0.1840636812736255,-0.17662353247064944
-0.21394427888557777,-0.1421028420568411,-0.12562251245024902,-0.18642372847456945
-0.2666253325066501,-0.12526250525010496,-0.07654153083061666,-0.19966399327986561
-0.24626492529850597,-0.10346206924138479,-0.10450209004180089,-0.2138642772855457
-0.20970419408388163,-0.1342626852537051,-0.14242284845696918,-0.18170363407268142
-0.16242324846496925,-0.14874297485949717,-0.1961839236784736,-0.16074321486429732
-0.1486629732594652,-0.1377827556551131,-0.20586411728234566,-0.17578351567031336
-0.15338306766135323,-0.13314266285325704,-0.20226404528090558,-0.17930358607172148
-0.22626452529050578,-0.13994279885597716,-0.13410268205364106,-0.16778335566711333
-0.23402468049360992,-0.1368227364547291,-0.07474149482989656,-0.11514230284605698
-0.22790455809116184,-0.08846176923538474,-0.09198183963679274,-0.15238304766095323
-0.2649052981059621,-0.08538170763415265,-0.05714114282285643,-0.15330306606132127
-0.25434508690173807,-0.08570171403428073,-0.07770155403108059,-0.14298285965719315
-0.16654333086661732,-0.10326206524130488,-0.16134322686453728,-0.12958259165183306
-0.17838356767135344,-0.0595011900238005,-0.1867837356747135,-0.1360627212544251
-0.20126402528050558,-0.10430208604172087,-0.15006300126002525,-0.10510210204204085
-0.24066481329626588,-0.0908218164363287,-0.11906238124762492,-0.11018220364407283
-0.2883057661153223,-0.08150163003260069,-0.0774215484309686,-0.11350227004540092
-0.24410488209764192,-0.0751415028300566,-0.12394247884957699,-0.11754235084701692
-0.2370647412948259,-0.07834156683133664,-0.18322366447328942,-0.16946338926778537
-0.23370467409348183,-0.06538130762615257,-0.18978379567591352,-0.1792235844716894
-0.2421448428968579,-0.09342186843736877,-0.18846376927538555,-0.14406288125762512
-0.2677053541070822,-0.10210204204084083,-0.17458349166983345,-0.12370247404948098
-0.29654593091861836,-0.1110222204444089,-0.14910298205964123,-0.11142222844456884
-0.3179063581271625,-0.09326186523730473,-0.12734254685093704,-0.12958259165183306
-0.2640652813056261,-0.06286125722514446,-0.20582411648232968,-0.13534270685413707
-0.23650473009460193,-0.07346146922938457,-0.24426488529770596,-0.11386227724554487
-0.24826496529930597,-0.03834076681533627,-0.23818476369527386,-0.14330286605732112
-0.2792655853117062,-0.04806096121922443,-0.19998399967999358,-0.14078281565631312
-0.2616252325046501,-0.03658073161463227,-0.15162303246064923,-0.11090221804436085
-0.31406628132562653,-0.06830136602732051,-0.10766215324306483,-0.07070141402828056
-0.25922518450369003,-0.06954139082781652,-0.15082301646032925,-0.08114162283245663
-0.1713834276685534,-0.025140502810056198,-0.22962459249184985,-0.13458269165383308
-0.1413028260565211,-0.034180683613672325,-0.24922498449969,-0.1360227204544091
-0.14710294205884122,-0.06318126362527254,-0.22366447328946581,-0.12678253565071307
-0.21186423728474568,-0.10082201644032884,-0.1473829476589532,-0.1006620132402648
-0.28674573491469835,-0.07986159723194464,-0.08490169803396064,-0.10922218444368892
-0.27686553731074626,-0.08894177883557675,-0.10206204124082485,-0.0928618572371448
-0.20438408768175365,-0.09038180763615278,-0.22486449728994584,-0.14846296925938518
-0.1865437308746175,-0.029500590011800276,-0.243904878097562,-0.20814416288325766
-0.2335846716934339,-0.029660593211864206,-0.1898237964759295,-0.21502430048600973
-0.2825456509130183,-0.04118082361647235,-0.13078261565231308,-0.2135842716854337
-0.2803456069121383,-0.12066241324826499,-0.13034260685213706,-0.13674273485469712
-0.3055861117222345,-0.19014380287605748,-0.23334466689333788,-0.19102382047640953
-0.27990559811196225,-0.14798295965919317,-0.26046520930418604,-0.2317446348926978
-0.2904658093161864,-0.12790255805116102,-0.2585451709034181,-0.243184863697274
-0.2669053381067621,-0.09786195723914481,-0.2845856917138343,-0.2707454149082982
-0.2850657013140263,-0.14394287885757717,-0.256265125302506,-0.2348246964939299
-0.40266805336106726,-0.2577851557031141,-0.2941058821176423,-0.30010600212004235
-0.4222284445688914,-0.251265025300506,-0.2757455149102982,-0.30542610852217045
-0.39230784615692316,-0.24822496449929,-0.3035860717214345,-0.3105462109242185
-0.37282745654913096,-0.25042500850017,-0.3358667173343467,-0.29554591091821836
-0.35342706854137085,-0.2249444988899778,-0.36094721894437887,-0.3153463069261385
-0.42190843816876333,-0.2891057821156423,-0.43806876137522754,-0.4038280765615312
-0.4422288445768915,-0.28094561891237824,-0.4170283405668114,-0.4127082541650833
-0.46706934138682776,-0.29578591571831436,-0.3873877477549551,-0.40266805336106726
-0.4840696813936278,-0.2991859837196744,-0.38198763975279504,-0.3876677533550671
-0.46198923978479567,-0.3195063901278026,-0.4146282925658513,-0.3567871357427148
-0.5542710854217084,-0.4000280005600112,-0.48826976539530786,-0.4124282485649713
